#        q              proton           neutron      

     0.001185        1.538093e+04      1.392101e+04   
     0.006239        7.744983e+03      7.050066e+03   
     0.015318        5.034978e+03      4.684485e+03   
     0.028399        3.585808e+03      3.306794e+03   
     0.045447        2.673104e+03      2.556873e+03   
     0.066417        2.125487e+03      2.025719e+03   
     0.091251        1.657652e+03      1.657636e+03   
     0.119882        1.412646e+03      1.336612e+03   
     0.152235        1.192775e+03      1.124819e+03   
     0.188220        9.966713e+02      9.363453e+02   
     0.227742        8.230052e+02      8.230040e+02   
     0.270694        7.190441e+02      7.190489e+02   
     0.316959        6.240777e+02      6.240896e+02   
     0.366414        5.377257e+02      5.377456e+02   
     0.418925        4.976833e+02      4.596406e+02   
     0.474351        4.235525e+02      4.235875e+02   
     0.532541        3.571057e+02      3.571529e+02   
     0.593339        3.266841e+02      3.267372e+02   
     0.656582        2.710861e+02      2.711513e+02   
     0.722098        2.458876e+02      2.459583e+02   
     0.789711        2.002890e+02      2.003696e+02   
     0.859239        1.798721e+02      1.799561e+02   
     0.930495        1.433498e+02      1.434389e+02   
     1.003286        1.123183e+02      1.124081e+02   
     1.077416        8.630342e+01      8.638955e+01   
     1.152685        6.481979e+01      6.489816e+01   
     1.228890        3.999663e+01      4.005840e+01   
     1.305826        1.833841e+01      2.274888e+01   
     1.383286        3.441271e+00      4.847110e+00   
     1.461060        4.452010e-01      4.460636e-01   
     1.538940        4.844991e-01      4.854664e-01   
     1.616714        5.221528e-01      5.232328e-01   
     1.694174        5.568844e-01      5.580808e-01   
     1.771110        5.875535e-01      5.888656e-01   
     1.847315        6.131957e-01      6.146187e-01   
     1.922584        6.330970e-01      6.346222e-01   
     1.996714        6.468838e-01      6.484998e-01   
     2.069505        6.544865e-01      6.561799e-01   
     2.140761        6.561214e-01      6.578778e-01   
     2.210289        6.522429e-01      6.540476e-01   
     2.277902        6.434907e-01      6.453293e-01   
     2.343418        6.306309e-01      6.324904e-01   
     2.406661        6.144481e-01      6.163165e-01   
     2.467459        5.958090e-01      5.976760e-01   
     2.525649        5.755537e-01      5.774105e-01   
     2.581075        5.544289e-01      5.562685e-01   
     2.633586        5.330817e-01      5.348988e-01   
     2.683041        5.120417e-01      5.138322e-01   
     2.729306        4.917569e-01      4.935183e-01   
     2.772258        4.725797e-01      4.743107e-01   
     2.811780        4.547615e-01      4.564619e-01   
     2.847765        4.384821e-01      4.401526e-01   
     2.880118        4.238658e-01      4.255080e-01   
     2.908749        4.109871e-01      4.126031e-01   
     2.933583        3.998848e-01      4.014774e-01   
     2.954553        3.905772e-01      3.921494e-01   
     2.971601        3.830607e-01      3.846161e-01   
     2.984682        3.773301e-01      3.788725e-01   
     2.993761        3.733728e-01      3.749059e-01   
     2.998815        3.711761e-01      3.727041e-01   
     3.004739        3.686084e-01      3.701304e-01   
     3.024957        3.599004e-01      3.614016e-01   
     3.061273        3.444948e-01      3.459577e-01   
     3.113597        3.229023e-01      3.243088e-01   
     3.181789        2.959774e-01      2.973087e-01   
     3.265666        2.649523e-01      2.661898e-01   
     3.365002        2.313552e-01      2.324818e-01   
     3.479529        1.968988e-01      1.979007e-01   
     3.608938        1.632608e-01      1.641294e-01   
     3.752880        1.318588e-01      1.325916e-01   
     3.910968        1.036998e-01      1.043007e-01   
     4.082775        7.934861e-02      7.982722e-02   
     4.267838        5.899480e-02      5.936465e-02   
     4.465657        4.254049e-02      4.281740e-02   
     4.675701        2.968367e-02      2.988419e-02   
     4.897402        1.998778e-02      2.012786e-02   
     5.130163        1.294467e-02      1.303882e-02   
     5.373356        8.028927e-03      8.089587e-03   
     5.626327        4.743458e-03      4.780745e-03   
     5.888392        2.649710e-03      2.671442e-03   
     6.158845        1.385119e-03      1.397030e-03   
     6.436958        6.675021e-04      6.735715e-04   
     6.721980        2.900902e-04      2.929218e-04   
     7.013143        1.103550e-04      1.115434e-04   
     7.309662        3.631702e-05      3.676582e-05   
     7.610739        1.285688e-05      1.303003e-05   
     7.915560        9.742188e-06      9.846608e-06   
     8.223305        1.223341e-05      1.234078e-05   
     8.533144        1.436733e-05      1.448811e-05   
     8.844241        1.458238e-05      1.470607e-05   
     9.155759        1.314823e-05      1.326222e-05   
     9.466856        1.083012e-05      1.092632e-05   
     9.776695        8.310929e-06      8.386551e-06   
    10.084440        6.022122e-06      6.078207e-06   
    10.389261        4.159246e-06      4.198865e-06   
    10.690338        2.756631e-06      2.783475e-06   
    10.986857        1.761892e-06      1.779428e-06   
    11.278020        1.089901e-06      1.100991e-06   
    11.563042        6.542169e-07      6.610258e-07   
    11.841155        3.817246e-07      3.857925e-07   
    12.111608        2.167431e-07      2.191110e-07   
    12.373673        1.198434e-07      1.211873e-07   
    12.626644        6.458455e-08      6.532826e-08   
    12.869837        3.400686e-08      3.440792e-08   
    13.102598        1.762501e-08      1.783559e-08   
    13.324299        9.170260e-09      9.277967e-09   
    13.534343        5.004572e-09      5.058565e-09   
    13.732162        3.078694e-09      3.105797e-09   
    13.917225        2.271881e-09      2.286263e-09   
    14.089032        1.991114e-09      1.999970e-09   
    14.247120        1.935709e-09      1.942531e-09   
    14.391062        1.962114e-09      1.968493e-09   
    14.520471        2.007246e-09      2.013825e-09   
    14.634998        2.047662e-09      2.054641e-09   
    14.734334        2.077883e-09      2.085272e-09   
    14.818211        2.098423e-09      2.106159e-09   
    14.886403        2.111032e-09      2.119032e-09   
    14.938727        2.117731e-09      2.125916e-09   
    14.975043        2.120893e-09      2.129196e-09   
    14.995261        2.123057e-09      2.131425e-09   
