#        q              proton           neutron      

     0.001185        1.896390e+04      3.143613e+04   
     0.006239        1.061379e+04      1.610175e+04   
     0.015318        7.210164e+03      1.063563e+04   
     0.028399        5.525795e+03      7.940861e+03   
     0.045447        4.448625e+03      6.143807e+03   
     0.066417        3.664208e+03      4.988343e+03   
     0.091251        3.106188e+03      4.142696e+03   
     0.119882        2.726131e+03      3.538510e+03   
     0.152235        2.377661e+03      2.995171e+03   
     0.188220        2.059365e+03      2.625598e+03   
     0.227742        1.863328e+03      2.287119e+03   
     0.270694        1.679800e+03      2.078064e+03   
     0.316959        1.508454e+03      1.881840e+03   
     0.366414        1.348910e+03      1.698086e+03   
     0.418925        1.273568e+03      1.526427e+03   
     0.474351        1.131178e+03      1.366504e+03   
     0.532541        1.064297e+03      1.217974e+03   
     0.593339        9.384342e+02      1.147976e+03   
     0.656582        8.231883e+02      1.015971e+03   
     0.722098        7.696428e+02      9.541012e+02   
     0.789711        6.696984e+02      8.379282e+02   
     0.859239        6.236121e+02      7.838272e+02   
     0.930495        5.380102e+02      6.827399e+02   
     1.003286        4.613132e+02      5.912157e+02   
     1.077416        3.614537e+02      5.087982e+02   
     1.152685        2.783057e+02      4.349785e+02   
     1.228890        1.712295e+02      3.389722e+02   
     1.305826        1.966425e+01      2.591726e+02   
     1.383286        1.863807e+00      5.031762e+00   
     1.461060        2.039568e+00      2.124370e+00   
     1.538940        2.214677e+00      2.308046e+00   
     1.616714        2.383155e+00      2.485847e+00   
     1.694174        2.539232e+00      2.651699e+00   
     1.771110        2.677704e+00      2.800045e+00   
     1.847315        2.794232e+00      2.926269e+00   
     1.922584        2.885618e+00      3.026902e+00   
     1.996714        2.949957e+00      3.099799e+00   
     2.069505        2.986673e+00      3.144197e+00   
     2.140761        2.996468e+00      3.160651e+00   
     2.210289        2.981164e+00      3.150889e+00   
     2.277902        2.943479e+00      3.117589e+00   
     2.343418        2.886770e+00      3.064110e+00   
     2.406661        2.814745e+00      2.994208e+00   
     2.467459        2.731217e+00      2.911778e+00   
     2.525649        2.639875e+00      2.820616e+00   
     2.581075        2.544127e+00      2.724259e+00   
     2.633586        2.446978e+00      2.625848e+00   
     2.683041        2.350973e+00      2.528071e+00   
     2.729306        2.258195e+00      2.433144e+00   
     2.772258        2.170275e+00      2.342831e+00   
     2.811780        2.088442e+00      2.258477e+00   
     2.847765        2.013572e+00      2.181064e+00   
     2.880118        1.946269e+00      2.111289e+00   
     2.908749        1.886902e+00      2.049597e+00   
     2.933583        1.835687e+00      1.996269e+00   
     2.954553        1.792716e+00      1.951449e+00   
     2.971601        1.758000e+00      1.915189e+00   
     2.984682        1.731518e+00      1.887499e+00   
     2.993761        1.713223e+00      1.868354e+00   
     2.998815        1.703070e+00      1.857724e+00   
     3.004739        1.691198e+00      1.845288e+00   
     3.024957        1.650927e+00      1.803065e+00   
     3.061273        1.579655e+00      1.728184e+00   
     3.113597        1.479707e+00      1.622837e+00   
     3.181789        1.355021e+00      1.490856e+00   
     3.265666        1.211284e+00      1.337909e+00   
     3.365002        1.055674e+00      1.171282e+00   
     3.479529        8.962989e-01      9.993998e-01   
     3.608938        7.410825e-01      8.306982e-01   
     3.752880        5.966481e-01      6.724329e-01   
     3.910968        4.676429e-01      5.299098e-01   
     4.082775        3.565980e-01      4.062446e-01   
     4.267838        2.642252e-01      3.025873e-01   
     4.465657        1.898946e-01      2.185743e-01   
     4.675701        1.320671e-01      1.527690e-01   
     4.897402        8.863568e-02      1.030269e-01   
     5.130163        5.721083e-02      6.681498e-02   
     5.373356        3.536303e-02      4.149133e-02   
     5.626327        2.081667e-02      2.453576e-02   
     5.888392        1.158244e-02      1.371371e-02   
     6.158845        6.027387e-03      7.169247e-03   
     6.436958        2.888701e-03      3.452558e-03   
     6.721980        1.246030e-03      1.497499e-03   
     7.013143        4.684713e-04      5.672559e-04   
     7.309662        1.510271e-04      1.852801e-04   
     7.610739        5.228083e-05      6.547796e-05   
     7.915560        4.060852e-05      5.078525e-05   
     8.223305        5.230573e-05      6.463879e-05   
     8.533144        6.188559e-05      7.614200e-05   
     8.844241        6.288457e-05      7.732057e-05   
     9.155759        5.665688e-05      6.971793e-05   
     9.466856        4.660389e-05      5.742571e-05   
     9.776695        3.570847e-05      4.407080e-05   
    10.084440        2.583501e-05      3.193908e-05   
    10.389261        1.781757e-05      2.206511e-05   
    10.690338        1.179342e-05      1.462978e-05   
    10.986857        7.528889e-06      9.355386e-06   
    11.278020        4.652594e-06      5.790953e-06   
    11.563042        2.790373e-06      3.478803e-06   
    11.841155        1.627076e-06      2.031733e-06   
    12.111608        9.234932e-07      1.154861e-06   
    12.373673        5.106199e-07      6.392877e-07   
    12.626644        2.753537e-07      3.448788e-07   
    12.869837        1.452467e-07      1.816792e-07   
    13.102598        7.558298e-08      9.405470e-08   
    13.324299        3.964583e-08      4.869965e-08   
    13.534343        2.194621e-08      2.626582e-08   
    13.732162        1.376183e-08      1.583351e-08   
    13.917225        1.032671e-08      1.142057e-08   
    14.089032        9.122996e-09      9.856120e-09   
    14.247120        8.876014e-09      9.527251e-09   
    14.391062        8.977823e-09      9.658623e-09   
    14.520471        9.160835e-09      9.904531e-09   
    14.634998        9.325794e-09      1.013312e-08   
    14.734334        9.449873e-09      1.031036e-08   
    14.818211        9.534002e-09      1.043490e-08   
    14.886403        9.584796e-09      1.051443e-08   
    14.938727        9.610766e-09      1.055953e-08   
    14.975043        9.622504e-09      1.058309e-08   
    14.995261        9.631302e-09      1.059816e-08   
