#        q                pp                pn                nn        

     0.001185        1.814431e+08      2.999654e+08      4.961069e+08   
     0.006239        5.724704e+07      8.645824e+07      1.306772e+08   
     0.015318        2.661848e+07      3.901321e+07      5.724707e+07   
     0.028399        1.574711e+07      2.244658e+07      3.204674e+07   
     0.045447        1.028225e+07      1.406463e+07      1.927741e+07   
     0.066417        7.032349e+06      9.465777e+06      1.277288e+07   
     0.091251        5.095063e+06      6.708159e+06      8.858133e+06   
     0.119882        3.953862e+06      5.060255e+06      6.498491e+06   
     0.152235        3.034118e+06      3.763802e+06      4.687670e+06   
     0.188220        2.300031e+06      2.880859e+06      3.624563e+06   
     0.227742        1.898165e+06      2.287425e+06      2.770451e+06   
     0.270694        1.556598e+06      1.887038e+06      2.300057e+06   
     0.316959        1.267864e+06      1.546836e+06      1.898192e+06   
     0.366414        1.025213e+06      1.259356e+06      1.556625e+06   
     0.418925        9.192463e+05      1.075994e+06      1.267891e+06   
     0.474351        7.345117e+05      8.647116e+05      1.025239e+06   
     0.532541        6.544606e+05      7.309559e+05      8.225864e+05   
     0.593339        5.160133e+05      6.133389e+05      7.345353e+05   
     0.656582        4.028843e+05      4.822441e+05      5.818307e+05   
     0.722098        3.545966e+05      4.260938e+05      5.160337e+05   
     0.789711        2.723739e+05      3.299217e+05      4.029023e+05   
     0.859239        2.376514e+05      2.891507e+05      3.546133e+05   
     0.930495        1.791772e+05      2.200225e+05      2.723885e+05   
     1.003286        1.332192e+05      1.652589e+05      2.067066e+05   
     1.077416        8.293213e+04      1.128390e+05      1.547903e+05   
     1.152685        4.957061e+04      7.496001e+04      1.142281e+05   
     1.228890        1.879564e+04      3.621195e+04      7.020560e+04   
     1.305826        2.240428e+02      3.045430e+03      4.133407e+04   
     1.383286        1.271651e+01      1.261367e+02      2.150341e+01   
     1.461060        1.128871e+01      1.451660e+02      1.387091e+01   
     1.538940        9.250166e+00      1.596417e+02      1.148303e+01   
     1.616714        6.933690e+00      1.682613e+02      8.705695e+00   
     1.694174        4.687274e+00      1.705961e+02      5.955971e+00   
     1.771110        2.787107e+00      1.670677e+02      3.584777e+00   
     1.847315        1.386403e+00      1.587530e+02      1.804792e+00   
     1.922584        5.106401e-01      1.470864e+02      6.727425e-01   
     1.996714        8.945648e-02      1.335514e+02      1.195323e-01   
     2.069505        3.959870e-03      1.194403e+02      5.081577e-03   
     2.140761        1.292102e-01      1.057211e+02      1.725300e-01   
     2.210289        3.608848e-01      9.301047e+01      4.855487e-01   
