#       k             kp                  V           
   0.001185       0.001185         -1.652492e+00     
   0.001185       0.006239         -1.652407e+00     
   0.001185       0.015318         -1.651959e+00     
   0.001185       0.028399         -1.650654e+00     
   0.001185       0.045447         -1.647790e+00     
   0.001185       0.066417         -1.642483e+00     
   0.001185       0.091251         -1.633712e+00     
   0.001185       0.119882         -1.620379e+00     
   0.001185       0.152235         -1.601399e+00     
   0.001185       0.188220         -1.575801e+00     
   0.001185       0.227742         -1.542844e+00     
   0.001185       0.270694         -1.502102e+00     
   0.001185       0.316959         -1.453528e+00     
   0.001185       0.366414         -1.397447e+00     
   0.001185       0.418925         -1.334511e+00     
   0.001185       0.474351         -1.265597e+00     
   0.001185       0.532541         -1.191697e+00     
   0.001185       0.593339         -1.113824e+00     
   0.001185       0.656582         -1.032914e+00     
   0.001185       0.722098         -9.498136e-01     
   0.001185       0.789711         -8.652805e-01     
   0.001185       0.859239         -7.799204e-01     
   0.001185       0.930495         -6.943030e-01     
   0.001185       1.003286         -6.089305e-01     
   0.001185       1.077416         -5.242651e-01     
   0.001185       1.152685         -4.407383e-01     
   0.001185       1.228890         -3.587776e-01     
   0.001185       1.305826         -2.787935e-01     
   0.001185       1.383286         -2.011644e-01     
   0.001185       1.461060         -1.262352e-01     
   0.001185       1.538940         -5.433421e-02     
   0.001185       1.616714         1.424779e-02      
   0.001185       1.694174         7.927405e-02      
   0.001185       1.771110         1.405473e-01      
   0.001185       1.847315         1.979249e-01      
   0.001185       1.922584         2.513056e-01      
   0.001185       1.996714         3.006468e-01      
   0.001185       2.069505         3.459465e-01      
   0.001185       2.140761         3.872546e-01      
   0.001185       2.210289         4.246603e-01      
   0.001185       2.277902         4.582893e-01      
   0.001185       2.343418         4.883006e-01      
   0.001185       2.406661         5.148816e-01      
   0.001185       2.467459         5.382406e-01      
   0.001185       2.525649         5.586017e-01      
   0.001185       2.581075         5.762000e-01      
   0.001185       2.633586         5.912762e-01      
   0.001185       2.683041         6.040732e-01      
   0.001185       2.729306         6.148311e-01      
   0.001185       2.772258         6.237829e-01      
   0.001185       2.811780         6.311512e-01      
   0.001185       2.847765         6.371457e-01      
   0.001185       2.880118         6.419611e-01      
   0.001185       2.908749         6.457733e-01      
   0.001185       2.933583         6.487413e-01      
