#       k             kp                 V11                    V12                    V21                    V22          
   0.001185       0.001185         -4.117277e-01          -5.372289e-06          -5.372289e-06          5.611601e-12      
   0.001185       0.006239         -4.116621e-01          -1.489765e-04          -5.371317e-06          1.560103e-10      
   0.001185       0.015318         -4.112887e-01          -8.979853e-04          -5.366350e-06          9.407602e-10      
   0.001185       0.028399         -4.102412e-01          -3.084351e-03          -5.351884e-06          3.230995e-09      
   0.001185       0.045447         -4.079381e-01          -7.878062e-03          -5.320216e-06          8.247122e-09      
   0.001185       0.066417         -4.036670e-01          -1.674119e-02          -5.261859e-06          1.752130e-08      
   0.001185       0.091251         -3.966083e-01          -3.134733e-02          -5.166299e-06          3.279696e-08      
   0.001185       0.119882         -3.858826e-01          -5.345016e-02          -5.023185e-06          5.586593e-08      
   0.001185       0.152235         -3.706246e-01          -8.469989e-02          -4.823967e-06          8.831447e-08      
   0.001185       0.188220         -3.500727e-01          -1.264222e-01          -4.563817e-06          1.311502e-07      
   0.001185       0.227742         -3.236642e-01          -1.793734e-01          -4.243478e-06          1.843082e-07      
   0.001185       0.270694         -2.911189e-01          -2.435324e-01          -3.870478e-06          2.461089e-07      
   0.001185       0.316959         -2.524912e-01          -3.179755e-01          -3.459113e-06          3.128491e-07      
   0.001185       0.366414         -2.081740e-01          -4.008871e-01          -3.028811e-06          3.788341e-07      
   0.001185       0.418925         -1.588488e-01          -4.897314e-01          -2.601009e-06          4.371609e-07      
   0.001185       0.474351         -1.053956e-01          -5.815504e-01          -2.195317e-06          4.813279e-07      
   0.001185       0.532541         -4.878742e-02          -6.733200e-01          -1.826251e-06          5.072274e-07      
   0.001185       0.593339         1.000357e-02           -7.622711e-01          -1.501673e-06          5.145564e-07      
   0.001185       0.656582         7.007109e-02           -8.461028e-01          -1.223357e-06          5.066474e-07      
   0.001185       0.722098         1.306108e-01           -9.230712e-01          -9.890302e-07          4.885461e-07      
   0.001185       0.789711         1.909360e-01           -9.919860e-01          -7.945824e-07          4.644595e-07      
   0.001185       0.859239         2.504786e-01           -1.052164e+00          -6.353889e-07          4.363765e-07      
   0.001185       0.930495         3.087782e-01           -1.103370e+00          -5.066216e-07          4.047855e-07      
   0.001185       1.003286         3.654583e-01           -1.145740e+00          -4.032261e-07          3.705134e-07      
   0.001185       1.077416         4.202005e-01           -1.179681e+00          -3.202270e-07          3.356468e-07      
   0.001185       1.152685         4.727283e-01           -1.205770e+00          -2.533366e-07          3.025922e-07      
   0.001185       1.228890         5.228045e-01           -1.224667e+00          -1.993260e-07          2.724908e-07      
   0.001185       1.305826         5.702331e-01           -1.237061e+00          -1.558333e-07          2.449067e-07      
   0.001185       1.383286         6.148581e-01           -1.243659e+00          -1.208942e-07          2.190716e-07      
   0.001185       1.461060         6.565588e-01           -1.245156e+00          -9.270541e-08          1.950786e-07      
   0.001185       1.538940         6.952485e-01           -1.242220e+00          -6.974848e-08          1.736620e-07      
   0.001185       1.616714         7.308780e-01           -1.235465e+00          -5.095513e-08          1.551133e-07      
   0.001185       1.694174         7.634398e-01           -1.225454e+00          -3.562827e-08          1.388540e-07      
   0.001185       1.771110         7.929654e-01           -1.212705e+00          -2.320157e-08          1.241052e-07      
   0.001185       1.847315         8.195193e-01           -1.197693e+00          -1.310571e-08          1.106469e-07      
   0.001185       1.922584         8.431941e-01           -1.180852e+00          -4.827876e-09          9.874569e-08      
   0.001185       1.996714         8.641080e-01           -1.162575e+00          1.988088e-09           8.852812e-08      
   0.001185       2.069505         8.824028e-01           -1.143209e+00          7.551796e-09           7.966945e-08      
   0.001185       2.140761         8.982388e-01           -1.123070e+00          1.202491e-08           7.168209e-08      
   0.001185       2.210289         9.117887e-01           -1.102444e+00          1.559080e-08           6.433047e-08      
   0.001185       2.277902         9.232320e-01           -1.081589e+00          1.844178e-08           5.769039e-08      
   0.001185       2.343418         9.327523e-01           -1.060737e+00          2.073039e-08           5.189167e-08      
   0.001185       2.406661         9.405349e-01           -1.040093e+00          2.255000e-08           4.689441e-08      
   0.001185       2.467459         9.467644e-01           -1.019838e+00          2.395717e-08           4.249946e-08      
   0.001185       2.525649         9.516216e-01           -1.000134e+00          2.500468e-08           3.850391e-08      
   0.001185       2.581075         9.552812e-01           -9.811231e-01          2.575597e-08           3.481657e-08      
   0.001185       2.633586         9.579100e-01           -9.629314e-01          2.627846e-08           3.145436e-08      
   0.001185       2.683041         9.596659e-01           -9.456680e-01          2.663039e-08           2.846774e-08      
   0.001185       2.729306         9.606971e-01           -9.294269e-01          2.685413e-08           2.587617e-08      
   0.001185       2.772258         9.611421e-01           -9.142884e-01          2.697798e-08           2.365124e-08      
   0.001185       2.811780         9.611285e-01           -9.003203e-01          2.702224e-08           2.173625e-08      
   0.001185       2.847765         9.607730e-01           -8.875799e-01          2.700433e-08           2.007372e-08      
   0.001185       2.880118         9.601809e-01           -8.761149e-01          2.694118e-08           1.862211e-08      
   0.001185       2.908749         9.594461e-01           -8.659646e-01          2.684920e-08           1.735880e-08      
   0.001185       2.933583         9.586511e-01           -8.571609e-01          2.674337e-08           1.627473e-08      
   0.001185       2.954553         9.578667e-01           -8.497296e-01          2.663643e-08           1.536754e-08      
   0.001185       2.971601         9.571522e-01           -8.436906e-01          2.653850e-08           1.463657e-08      
   0.001185       2.984682         9.565556e-01           -8.390591e-01          2.645719e-08           1.408064e-08      
   0.001185       2.993761         9.561136e-01           -8.358461e-01          2.639787e-08           1.369780e-08      
   0.001185       2.998815         9.558514e-01           -8.340582e-01          2.636401e-08           1.348586e-08      
   0.001185       3.004739         9.556012e-01           -8.319606e-01          2.632197e-08           1.323869e-08      
   0.001185       3.024957         9.546197e-01           -8.248092e-01          2.617305e-08           1.240596e-08      
   0.001185       3.061273         9.525764e-01           -8.119865e-01          2.588241e-08           1.096155e-08      
   0.001185       3.113597         9.491149e-01           -7.935713e-01          2.541748e-08           9.025562e-09      
   0.001185       3.181789         9.437563e-01           -7.697060e-01          2.473952e-08           6.778546e-09      
   0.001185       3.265666         9.359343e-01           -7.406158e-01          2.379314e-08           4.328456e-09      
   0.001185       3.365002         9.250369e-01           -7.066322e-01          2.251477e-08           1.611262e-09      
   0.001185       3.479529         9.104496e-01           -6.682161e-01          2.090460e-08           -1.233660e-09     
   0.001185       3.608938         8.915983e-01           -6.259718e-01          1.902489e-08           -3.695210e-09     
   0.001185       3.752880         8.679978e-01           -5.806443e-01          1.686778e-08           -5.866264e-09     
   0.001185       3.910968         8.392916e-01           -5.331147e-01          1.450271e-08           -7.780018e-09     
   0.001185       4.082775         8.052848e-01           -4.843740e-01          1.207551e-08           -8.891672e-09     
   0.001185       4.267838         7.659857e-01           -4.354726e-01          9.621492e-09           -9.638666e-09     
   0.001185       4.465657         7.216236e-01           -3.874757e-01          7.318049e-09           -9.533652e-09     
   0.001185       4.675701         6.726734e-01           -3.413868e-01          5.200457e-09           -9.025582e-09     
   0.001185       4.897402         6.198512e-01           -2.980931e-01          3.405489e-09           -7.802687e-09     
   0.001185       5.130163         5.641047e-01           -2.582963e-01          1.930422e-09           -6.339665e-09     
   0.001185       5.373356         5.065689e-01           -2.224798e-01          8.180551e-10           -4.534713e-09     
   0.001185       5.626327         4.485115e-01           -1.908861e-01          5.283496e-11           -2.638144e-09     
   0.001185       5.888392         3.912514e-01           -1.635200e-01          -4.240486e-10          -8.952236e-10     
   0.001185       6.158845         3.360691e-01           -1.401817e-01          -6.520954e-10          7.240318e-10      
   0.001185       6.436958         2.841202e-01           -1.205123e-01          -6.940034e-10          2.053971e-09      
   0.001185       6.721980         2.363552e-01           -1.040477e-01          -6.254940e-10          2.980532e-09      
   0.001185       7.013143         1.934634e-01           -9.027978e-02          -4.983097e-10          3.567238e-09      
   0.001185       7.309662         1.558462e-01           -7.871030e-02          -3.398556e-10          3.864045e-09      
   0.001185       7.610739         1.236175e-01           -6.888414e-02          -1.959506e-10          3.867436e-09      
   0.001185       7.915560         9.663290e-02           -6.042066e-02          -8.197435e-11          3.631279e-09      
   0.001185       8.223305         7.453852e-02           -5.302023e-02          7.266044e-12           3.257814e-09      
   0.001185       8.533144         5.683105e-02           -4.645824e-02          5.873318e-11           2.821236e-09      
   0.001185       8.844241         4.292312e-02           -4.058401e-02          9.055097e-11           2.368490e-09      
   0.001185       9.155759         3.219922e-02           -3.529687e-02          9.797576e-11           1.917439e-09      
   0.001185       9.466856         2.406406e-02           -3.053644e-02          8.800808e-11           1.497219e-09      
   0.001185       9.776695         1.797601e-02           -2.626624e-02          8.048690e-11           1.142471e-09      
   0.001185       10.084440        1.346546e-02           -2.245611e-02          6.236244e-11           8.556515e-10      
   0.001185       10.389261        1.014491e-02           -1.908536e-02          4.959613e-11           6.318736e-10      
   0.001185       10.690338        7.705181e-03           -1.612913e-02          3.652715e-11           4.520568e-10      
