# vlowk itz =  0 l =  0 s =  1 jt =  1 kvnn =   6  Lambda =  12.00
#  fac=0.50 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V11             V12              V21             V22 
   0.002370   0.002370   -2.868741653355E-01  -2.148814811193E-05  -2.148814811193E-05   9.001634196670E-11
   0.002370   0.012478   -2.865887352337E-01  -5.958779497109E-04  -2.147283930777E-05   2.496201767234E-09
   0.002370   0.030636   -2.851567379275E-01  -3.588331327117E-03  -2.139363510443E-05   1.503467691515E-08
   0.002370   0.056798   -2.809931702260E-01  -1.227369931649E-02  -2.116438282059E-05   5.138979265090E-08
   0.002370   0.090895   -2.719291010139E-01  -3.110573727037E-02  -2.067088369395E-05   1.301862830567E-07
   0.002370   0.132833   -2.554256976825E-01  -6.519243869912E-02  -1.979092662676E-05   2.723633668320E-07
   0.002370   0.182501   -2.289396327029E-01  -1.193388092749E-01  -1.842931605314E-05   4.957398855362E-07
   0.002370   0.239765   -1.904451366137E-01  -1.967148031490E-01  -1.656322272417E-05   8.053826180365E-07
   0.002370   0.304469   -1.389751669156E-01  -2.974601188532E-01  -1.427967856005E-05   1.180400332730E-06
   0.002370   0.376440   -7.495966531266E-02  -4.178521995546E-01  -1.177679818603E-05   1.564257629736E-06
   0.002370   0.455484   -1.599024236609E-04  -5.506506170307E-01  -9.309848526683E-06   1.873830597274E-06
   0.002370   0.541387    8.279568619696E-02  -6.867055422188E-01  -7.100400790192E-06   2.037829008233E-06
   0.002370   0.633919    1.710177258289E-01  -8.170879987151E-01  -5.266177281524E-06   2.043620374738E-06
   0.002370   0.732829    2.618129971636E-01  -9.346746865538E-01  -3.820178289585E-06   1.940128141033E-06
   0.002370   0.837850    3.529108498374E-01  -1.034727551988E+00  -2.721224249989E-06   1.781465789628E-06
   0.002370   0.948701    4.425192248322E-01  -1.114839918889E+00  -1.912821153023E-06   1.585584662297E-06
   0.002370   1.065082    5.292272388276E-01  -1.174624210070E+00  -1.330205260157E-06   1.365632247532E-06
   0.002370   1.186678    6.118294217704E-01  -1.215107099983E+00  -9.101910903084E-07   1.155354367995E-06
   0.002370   1.313163    6.892479937659E-01  -1.238022880491E+00  -6.079284538450E-07   9.699148205710E-07
   0.002370   1.444196    7.605422405734E-01  -1.245422125296E+00  -3.924695475422E-07   8.007552196195E-07
   0.002370   1.579422    8.248924620732E-01  -1.239471065476E+00  -2.371491027603E-07   6.551636336336E-07
   0.002370   1.718479    8.816334642202E-01  -1.222215509027E+00  -1.247965275415E-07   5.367717052509E-07
   0.002370   1.860990    9.303175101001E-01  -1.195513954259E+00  -4.498820743925E-08   4.340048758676E-07
   0.002370   2.006571    9.707049548624E-01  -1.161066073024E+00   1.224203675498E-08   3.496098782567E-07
   0.002370   2.154831    1.002772001981E+00  -1.120365937061E+00   5.231093880623E-08   2.811669047481E-07
   0.002370   2.305369    1.026703999713E+00  -1.074745209755E+00   7.897304861852E-08   2.212228110109E-07
   0.002370   2.457780    1.042841169897E+00  -1.025412059317E+00   9.625253614096E-08   1.732031525454E-07
   0.002370   2.611653    1.051659302932E+00  -9.734394798785E-01   1.056288073543E-07   1.317892318273E-07
   0.002370   2.766572    1.053722927104E+00  -9.198123266143E-01   1.092443306872E-07   9.610764068371E-08
   0.002370   2.922121    1.049646834748E+00  -8.654213643075E-01   1.086270982128E-07   6.737180807746E-08
   0.002370   3.077879    1.040080369011E+00  -8.110634265975E-01   1.044833460695E-07   4.146665921701E-08
   0.002370   3.233428    1.025672657317E+00  -7.574560892244E-01   9.828348534630E-08   2.099797696659E-08
   0.002370   3.388347    1.007069336227E+00  -7.052146369807E-01   9.042805253905E-08   3.851487702567E-09
   0.002370   3.542220    9.848995978997E-01  -6.548633321510E-01   8.168138093828E-08  -1.041023278161E-08
   0.002370   3.694631    9.597676682717E-01  -6.068279610076E-01   7.269467251107E-08  -2.053841854651E-08
   0.002370   3.845169    9.322567322681E-01  -5.614315983969E-01   6.358303078780E-08  -2.901890060078E-08
   0.002370   3.993429    9.029172182324E-01  -5.189081290071E-01   5.494167231963E-08  -3.443912584337E-08
   0.002370   4.139010    8.722694981640E-01  -4.793976321419E-01   4.683072071060E-08  -3.766972566303E-08
   0.002370   4.281521    8.408000917510E-01  -4.429610495204E-01   3.933446004046E-08  -3.980603255336E-08
   0.002370   4.420578    8.089547220728E-01  -4.095923531346E-01   3.270874901893E-08  -3.972067936159E-08
   0.002370   4.555804    7.771409916738E-01  -3.792241870757E-01   2.679637101160E-08  -3.881579493316E-08
   0.002370   4.686837    7.457226645710E-01  -3.517460899324E-01   2.163413530854E-08  -3.734559615049E-08
   0.002370   4.813322    7.150176851849E-01  -3.270141902085E-01   1.728635509288E-08  -3.464511452585E-08
   0.002370   4.934918    6.853012002922E-01  -3.048589956984E-01   1.356060016633E-08  -3.178524035709E-08
   0.002370   5.051299    6.568038360905E-01  -2.850991286922E-01   1.040723967261E-08  -2.899403337612E-08
   0.002370   5.162150    6.297132175258E-01  -2.675485945085E-01   7.843639579468E-09  -2.569730926277E-08
   0.002370   5.267171    6.041789880689E-01  -2.520210303897E-01   5.737045621438E-09  -2.234854961595E-08
   0.002370   5.366081    5.803155494914E-01  -2.383364844849E-01   3.978360230150E-09  -1.944777582621E-08
   0.002370   5.458613    5.582050718251E-01  -2.263258450838E-01   2.563077625765E-09  -1.671891833684E-08
   0.002370   5.544516    5.379027054964E-01  -2.158319987875E-01   1.464988734966E-09  -1.393401291989E-08
   0.002370   5.623560    5.194416425850E-01  -2.067110386152E-01   6.015612788871E-10  -1.131898672116E-08
   0.002370   5.695531    5.028371015394E-01  -1.988337929784E-01  -9.677091215702E-11  -9.111804098815E-09
   0.002370   5.760235    4.880901662295E-01  -1.920863487738E-01  -6.573647732764E-10  -7.289484070523E-09
   0.002370   5.817499    4.751917638383E-01  -1.863695799328E-01  -1.090812914603E-09  -5.713384170041E-09
   0.002370   5.867167    4.641263244063E-01  -1.815984293308E-01  -1.413798297723E-09  -4.307754608709E-09
   0.002370   5.909105    4.548748414412E-01  -1.777012718832E-01  -1.649475633194E-09  -3.081620803069E-09
   0.002370   5.943202    4.474173819451E-01  -1.746193097352E-01  -1.819341426215E-09  -2.071810924423E-09
   0.002370   5.969364    4.417351486854E-01  -1.723059450639E-01  -1.938699300578E-09  -1.301891735865E-09
   0.002370   5.987522    4.378120919714E-01  -1.707261555699E-01  -2.016831741648E-09  -7.757447036268E-10
