#       k             kp                  V           
   0.000973       0.000973         2.895094e-06      
   0.000973       0.005125         1.509594e-05      
   0.000973       0.012579         3.705550e-05      
   0.000973       0.023314         6.851060e-05      
   0.000973       0.037292         1.092303e-04      
   0.000973       0.054469         1.585466e-04      
   0.000973       0.074787         2.154518e-04      
   0.000973       0.098178         2.784077e-04      
   0.000973       0.124565         3.453083e-04      
   0.000973       0.153859         4.134890e-04      
   0.000973       0.185965         4.798546e-04      
   0.000973       0.220775         5.411252e-04      
   0.000973       0.258173         5.941775e-04      
   0.000973       0.298036         6.364214e-04      
   0.000973       0.340231         6.661279e-04      
   0.000973       0.384617         6.826292e-04      
   0.000973       0.431047         6.863429e-04      
   0.000973       0.479368         6.786211e-04      
   0.000973       0.529418         6.614773e-04      
   0.000973       0.581031         6.372616e-04      
   0.000973       0.634036         6.083575e-04      
   0.000973       0.688256         5.769470e-04      
   0.000973       0.743512         5.448605e-04      
   0.000973       0.799621         5.135158e-04      
   0.000973       0.856395         4.839237e-04      
   0.000973       0.913645         4.567280e-04      
   0.000973       0.971183         4.322695e-04      
   0.000973       1.028817         4.106586e-04      
   0.000973       1.086355         3.918378e-04      
   0.000973       1.143605         3.756382e-04      
   0.000973       1.200379         3.618232e-04      
   0.000973       1.256488         3.501229e-04      
   0.000973       1.311744         3.402591e-04      
   0.000973       1.365964         3.319611e-04      
   0.000973       1.418969         3.249766e-04      
   0.000973       1.470582         3.190792e-04      
   0.000973       1.520632         3.140738e-04      
   0.000973       1.568953         3.097866e-04      
   0.000973       1.615383         3.060821e-04      
   0.000973       1.659769         3.028408e-04      
   0.000973       1.701964         2.999772e-04      
   0.000973       1.741827         2.974204e-04      
   0.000973       1.779225         2.951183e-04      
   0.000973       1.814035         2.930344e-04      
   0.000973       1.846141         2.911445e-04      
   0.000973       1.875435         2.894347e-04      
   0.000973       1.901822         2.879002e-04      
   0.000973       1.925213         2.865353e-04      
   0.000973       1.945531         2.853434e-04      
   0.000973       1.962708         2.843311e-04      
   0.000973       1.976686         2.835020e-04      
   0.000973       1.987421         2.828592e-04      
   0.000973       1.994875         2.824123e-04      
   0.000973       1.999027         2.821630e-04      
   0.000973       2.001961         2.819864e-04      
   0.000973       2.010330         2.814810e-04      
   0.000973       2.025365         2.805628e-04      
   0.000973       2.047037         2.792275e-04      
   0.000973       2.075299         2.774506e-04      
   0.000973       2.110086         2.752092e-04      
   0.000973       2.151322         2.724646e-04      
   0.000973       2.198915         2.691666e-04      
   0.000973       2.252758         2.652551e-04      
   0.000973       2.312731         2.606579e-04      
   0.000973       2.378700         2.552991e-04      
   0.000973       2.450518         2.491100e-04      
   0.000973       2.528026         2.420191e-04      
   0.000973       2.611049         2.339794e-04      
   0.000973       2.699403         2.249688e-04      
   0.000973       2.792891         2.149864e-04      
   0.000973       2.891303         2.040744e-04      
   0.000973       2.994421         1.923139e-04      
   0.000973       3.102014         1.798233e-04      
   0.000973       3.213842         1.667526e-04      
   0.000973       3.329656         1.532801e-04      
   0.000973       3.449197         1.396074e-04      
   0.000973       3.572198         1.259470e-04      
   0.000973       3.698386         1.125100e-04      
   0.000973       3.827477         9.948833e-05      
   0.000973       3.959186         8.706158e-05      
   0.000973       4.093216         7.538426e-05      
   0.000973       4.229270         6.456416e-05      
   0.000973       4.367044         5.468826e-05      
   0.000973       4.506230         4.579857e-05      
   0.000973       4.646518         3.790924e-05      
   0.000973       4.787595         3.099965e-05      
   0.000973       4.929146         2.503282e-05      
   0.000973       5.070854         1.994395e-05      
   0.000973       5.212405         1.566099e-05      
   0.000973       5.353482         1.210371e-05      
   0.000973       5.493770         9.186343e-06      
   0.000973       5.632956         6.824627e-06      
   0.000973       5.770730         4.938098e-06      
   0.000973       5.906784         3.451923e-06      
   0.000973       6.040814         1.121136e-06      
   0.000973       6.172523         7.046859e-07      
   0.000973       6.301614         4.190215e-07      
   0.000973       6.427802         1.502562e-07      
   0.000973       6.550803         1.258480e-07      
   0.000973       6.670344         2.751587e-08      
   0.000973       6.786158         -1.798332e-08     
   0.000973       6.897986         -4.270852e-08     
   0.000973       7.005579         -5.435497e-08     
   0.000973       7.108697         -5.787433e-08     
   0.000973       7.207109         -5.676857e-08     
   0.000973       7.300597         -5.323584e-08     
   0.000973       7.388951         -4.860944e-08     
   0.000973       7.471974         -4.372742e-08     
   0.000973       7.549482         -3.905843e-08     
   0.000973       7.621300         -3.478173e-08     
   0.000973       7.687269         -3.105683e-08     
   0.000973       7.747242         -2.786451e-08     
   0.000973       7.801085         -2.516892e-08     
   0.000973       7.848678         -2.295094e-08     
   0.000973       7.889914         -2.115460e-08     
   0.000973       7.924701         -1.972668e-08     
   0.000973       7.952963         -1.862376e-08     
   0.000973       7.974635         -1.781174e-08     
   0.000973       7.989670         -1.726539e-08     
   0.000973       7.998039         -1.696776e-08     
   0.005125       0.000973         1.509594e-05      
   0.005125       0.005125         7.941921e-05      
   0.005125       0.012579         1.950599e-04      
   0.005125       0.023314         3.606987e-04      
   0.005125       0.037292         5.750690e-04      
   0.005125       0.054469         8.347121e-04      
   0.005125       0.074787         1.134306e-03      
   0.005125       0.098178         1.465757e-03      
   0.005125       0.124565         1.817979e-03      
   0.005125       0.153859         2.176944e-03      
   0.005125       0.185965         2.526358e-03      
   0.005125       0.220775         2.848952e-03      
   0.005125       0.258173         3.128284e-03      
   0.005125       0.298036         3.350716e-03      
   0.005125       0.340231         3.507143e-03      
   0.005125       0.384617         3.594048e-03      
   0.005125       0.431047         3.613626e-03      
   0.005125       0.479368         3.572995e-03      
   0.005125       0.529418         3.482753e-03      
   0.005125       0.581031         3.355274e-03      
   0.005125       0.634036         3.203108e-03      
   0.005125       0.688256         3.037738e-03      
   0.005125       0.743512         2.868807e-03      
   0.005125       0.799621         2.703779e-03      
   0.005125       0.856395         2.547977e-03      
   0.005125       0.913645         2.404789e-03      
   0.005125       0.971183         2.276013e-03      
   0.005125       1.028817         2.162228e-03      
   0.005125       1.086355         2.063133e-03      
   0.005125       1.143605         1.977839e-03      
   0.005125       1.200379         1.905099e-03      
   0.005125       1.256488         1.843495e-03      
   0.005125       1.311744         1.791559e-03      
   0.005125       1.365964         1.747868e-03      
   0.005125       1.418969         1.711093e-03      
   0.005125       1.470582         1.680041e-03      
   0.005125       1.520632         1.653686e-03      
   0.005125       1.568953         1.631113e-03      
   0.005125       1.615383         1.611607e-03      
   0.005125       1.659769         1.594541e-03      
   0.005125       1.701964         1.579463e-03      
   0.005125       1.741827         1.566000e-03      
   0.005125       1.779225         1.553879e-03      
   0.005125       1.814035         1.542906e-03      
   0.005125       1.846141         1.532956e-03      
   0.005125       1.875435         1.523953e-03      
   0.005125       1.901822         1.515872e-03      
   0.005125       1.925213         1.508686e-03      
   0.005125       1.945531         1.502411e-03      
   0.005125       1.962708         1.497080e-03      
   0.005125       1.976686         1.492714e-03      
   0.005125       1.987421         1.489331e-03      
   0.005125       1.994875         1.486977e-03      
   0.005125       1.999027         1.485664e-03      
   0.005125       2.001961         1.484735e-03      
   0.005125       2.010330         1.482073e-03      
   0.005125       2.025365         1.477239e-03      
   0.005125       2.047037         1.470208e-03      
   0.005125       2.075299         1.460852e-03      
   0.005125       2.110086         1.449051e-03      
   0.005125       2.151322         1.434599e-03      
   0.005125       2.198915         1.417235e-03      
