#       k             kp                 V11                    V12                    V21                    V22          
   0.000973       0.000973         -1.943507e+00          -3.733595e-06          -3.733595e-06          0.000000e+00      
   0.000973       0.005125         -1.943472e+00          -1.028149e-04          -3.733077e-06          5.792506e-07      
   0.000973       0.012579         -1.943216e+00          -6.192210e-04          -3.730893e-06          -1.073934e-13     
   0.000973       0.023314         -1.942494e+00          -2.125198e-03          -3.723539e-06          -3.695786e-13     
   0.000973       0.037292         -1.940886e+00          -5.427650e-03          -3.707840e-06          -9.461144e-13     
   0.000973       0.054469         -1.937911e+00          -1.153944e-02          -3.678646e-06          -2.018821e-12     
   0.000973       0.074787         -1.932987e+00          -2.163043e-02          -3.630827e-06          -3.806409e-12     
   0.000973       0.098178         -1.925483e+00          -3.695422e-02          -3.558932e-06          -6.561011e-12     
   0.000973       0.124565         -1.914751e+00          -5.874735e-02          -3.458164e-06          -1.056425e-11     
   0.000973       0.153859         -1.900181e+00          -8.810445e-02          -3.325150e-06          -1.612298e-11     
   0.000973       0.185965         -1.881251e+00          -1.258400e-01          -3.158709e-06          -2.356484e-11     
   0.000973       0.220775         -1.857582e+00          -1.723560e-01          -2.960446e-06          -3.323353e-11     
   0.000973       0.258173         -1.828981e+00          -2.275388e-01          -2.734930e-06          -4.548403e-11     
   0.000973       0.298036         -1.795465e+00          -2.907111e-01          -2.489341e-06          -6.067764e-11     
   0.000973       0.340231         -1.757261e+00          -3.606523e-01          -2.232657e-06          -7.917693e-11     
   0.000973       0.384617         -1.714781e+00          -4.356912e-01          -1.974357e-06          2.923596e-07      
   0.000973       0.431047         -1.668575e+00          -5.138543e-01          -1.723445e-06          3.197702e-07      
   0.000973       0.479368         -1.619276e+00          -5.930444e-01          -1.487297e-06          3.401135e-07      
   0.000973       0.529418         -1.567542e+00          -6.712159e-01          -1.271150e-06          3.529051e-07      
   0.000973       0.581031         -1.514005e+00          -7.465220e-01          -1.077991e-06          3.583365e-07      
   0.000973       0.634036         -1.459241e+00          -8.174162e-01          -9.086820e-07          3.571594e-07      
   0.000973       0.688256         -1.403750e+00          -8.827042e-01          -7.627687e-07          3.503736e-07      
   0.000973       0.743512         -1.347951e+00          -9.415522e-01          -6.386601e-07          3.391486e-07      
   0.000973       0.799621         -1.292188e+00          -9.934628e-01          -5.341346e-07          3.246616e-07      
   0.000973       0.856395         -1.236745e+00          -1.038231e+00          -4.466362e-07          3.080235e-07      
   0.000973       0.913645         -1.181851e+00          -1.075889e+00          -3.738746e-07          -5.887750e-10     
   0.000973       0.971183         -1.127703e+00          -1.106658e+00          -3.135299e-07          -6.675209e-10     
   0.000973       1.028817         -1.074470e+00          -1.130893e+00          4.730912e-09           -7.514085e-10     
   0.000973       1.086355         -1.022302e+00          -1.149045e+00          4.735766e-09           -8.399937e-10     
   0.000973       1.143605         -9.713412e-01          -1.161626e+00          4.731861e-09           -9.326727e-10     
   0.000973       1.200379         -9.217179e-01          -1.169184e+00          4.717587e-09           -1.028668e-09     
   0.000973       1.256488         -8.735581e-01          -1.172278e+00          4.691446e-09           -1.127019e-09     
