# vlowk itz =  0 l =  0 s =  1 jt =  1 kvnn =  16  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V11             V12              V21             V22 
   0.000973   0.000973   -1.360469651173E+00  -3.757128232436E-06  -3.757128232436E-06   2.910279078407E-16
   0.000973   0.005125   -1.360438422946E+00  -1.041584797342E-04  -3.756610249092E-06   7.013442863674E-07
   0.000973   0.012579   -1.360188299854E+00  -6.273548530205E-04  -3.754426161532E-06   2.910279078407E-16
   0.000973   0.023314   -1.359488928097E+00  -2.153136386077E-03  -3.747072052811E-06   2.910279078407E-16
   0.000973   0.037292   -1.357923812678E+00  -5.499132614347E-03  -3.731371908395E-06   2.910279078407E-16
   0.000973   0.054469   -1.355031533694E+00  -1.169193317281E-02  -3.702176828070E-06   2.910279078407E-16
   0.000973   0.074787   -1.350244889279E+00  -2.191787790037E-02  -3.654354597228E-06   2.910279078407E-16
   0.000973   0.098178   -1.342951758478E+00  -3.744953448875E-02  -3.582455847486E-06   2.910279078407E-16
   0.000973   0.124565   -1.332527790510E+00  -5.954455396675E-02  -3.481682639969E-06   2.910279078407E-16
   0.000973   0.153859   -1.318385906888E+00  -8.932041718867E-02  -3.348660238405E-06   2.910279078407E-16
   0.000973   0.185965   -1.300030568242E+00  -1.276158320800E-01  -3.182208759217E-06   2.910279078407E-16
   0.000973   0.220775   -1.277110701178E+00  -1.748576955373E-01  -2.983932372424E-06   2.910279078407E-16
   0.000973   0.258173   -1.249462621285E+00  -2.309579722663E-01  -2.758399267241E-06   2.910279078407E-16
   0.000973   0.298036   -1.217134310286E+00  -2.952644108387E-01  -2.512791273916E-06   2.910279078407E-16
   0.000973   0.340231   -1.180385184711E+00  -3.665809799710E-01  -2.256084003475E-06   2.910279078407E-16
   0.000973   0.384617   -1.139660524864E+00  -4.432595563610E-01  -1.997757608335E-06   2.923431786586E-07
   0.000973   0.431047   -1.095545461178E+00  -5.233480599000E-01  -1.746816036031E-06   3.197534648561E-07
   0.000973   0.479368   -1.048707755541E+00  -6.047679004329E-01  -1.510636840436E-06   3.400985947666E-07
   0.000973   0.529418   -9.998401691234E-01  -6.854892653286E-01  -1.294457074796E-06   3.528949517537E-07
   0.000973   0.581031   -9.496116208908E-01  -7.636773773623E-01  -1.101264508727E-06   3.583352322382E-07
   0.000973   0.634036   -8.986326685500E-01  -8.377934579572E-01  -9.319223161311E-07   3.571715516962E-07
   0.000973   0.688256   -8.474366603485E-01  -9.066462507133E-01  -7.859777429674E-07   3.504057533944E-07
   0.000973   0.743512   -7.964745327500E-01  -9.693998270415E-01  -6.618409784127E-07   3.392088253864E-07
   0.000973   0.799621   -7.461193980315E-01  -1.025548921022E+00  -5.572915081402E-07   3.247597753864E-07
   0.000973   0.856395   -6.966766906141E-01  -1.074874419630E+00  -4.697744707587E-07   3.081695368002E-07
   0.000973   0.913645   -6.483962522164E-01  -1.117390157814E+00  -3.970005180952E-07   2.910279078407E-16
   0.000973   0.971183   -6.014837596853E-01  -1.153289441244E+00  -3.366503115407E-07   2.910279078407E-16
   0.000973   1.028817   -5.561101694749E-01  -1.182896223155E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.086355   -5.124186162953E-01  -1.206623670635E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.143605   -4.705289044637E-01  -1.224940757316E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.200379   -4.305400829502E-01  -1.238346393979E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.256488   -3.925316591432E-01  -1.247350151807E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.311744   -3.565640411876E-01  -1.252458341596E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.365964   -3.226786978197E-01  -1.254164256071E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.418969   -2.908983791786E-01  -1.252941574852E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.470582   -2.612276238714E-01  -1.249240096224E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.520632   -2.336537046991E-01  -1.243483061678E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.568953   -2.081479651475E-01  -1.236065747286E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.615383   -1.846675049061E-01  -1.227354960984E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.659769   -1.631573171123E-01  -1.217688827987E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.701964   -1.435524825619E-01  -1.207377302124E+00  -2.910279078407E-16   2.910279078407E-16
   0.000973   1.741827   -1.257805204581E-01  -1.196702865704E+00  -2.910279078407E-16   2.910279078407E-16
