#       k             kp                  V           
   0.001185       0.001185         -1.959597e+00     
   0.001185       0.006239         -1.959533e+00     
   0.001185       0.015318         -1.959143e+00     
   0.001185       0.028399         -1.958004e+00     
   0.001185       0.045447         -1.955491e+00     
   0.001185       0.066417         -1.950831e+00     
   0.001185       0.091251         -1.943114e+00     
   0.001185       0.119882         -1.931343e+00     
   0.001185       0.152235         -1.914506e+00     
   0.001185       0.188220         -1.891650e+00     
   0.001185       0.227742         -1.861966e+00     
   0.001185       0.270694         -1.824876e+00     
   0.001185       0.316959         -1.780080e+00     
   0.001185       0.366414         -1.727585e+00     
   0.001185       0.418925         -1.667677e+00     
   0.001185       0.474351         -1.600870e+00     
   0.001185       0.532541         -1.527826e+00     
   0.001185       0.593339         -1.449286e+00     
   0.001185       0.656582         -1.366006e+00     
   0.001185       0.722098         -1.278734e+00     
   0.001185       0.789711         -1.188208e+00     
   0.001185       0.859239         -1.095179e+00     
   0.001185       0.930495         -1.000438e+00     
   0.001185       1.003286         -9.048564e-01     
   0.001185       1.077416         -8.094025e-01     
   0.001185       1.152685         -7.151525e-01     
   0.001185       1.228890         -6.232743e-01     
   0.001185       1.305826         -5.349913e-01     
   0.001185       1.383286         -4.515255e-01     
   0.001185       1.461060         -3.740251e-01     
   0.001185       1.538940         -3.034850e-01     
   0.001185       1.616714         -2.406707e-01     
   0.001185       1.694174         -1.860565e-01     
   0.001185       1.771110         -1.397878e-01     
   0.001185       1.847315         -1.016754e-01     
   0.001185       1.922584         -7.122234e-02     
   0.001185       1.996714         -4.768136e-02     
   0.001185       2.069505         -3.013234e-02     
   0.001185       2.140761         -1.756955e-02     
   0.001185       2.210289         -8.985232e-03     
   0.001185       2.277902         -3.439296e-03     
   0.001185       2.343418         -1.084452e-04     
   0.001185       2.406661         1.687475e-03      
   0.001185       2.467459         2.479721e-03      
   0.001185       2.525649         2.660849e-03      
   0.001185       2.581075         2.504785e-03      
   0.001185       2.633586         2.191176e-03      
   0.001185       2.683041         1.829611e-03      
   0.001185       2.729306         1.480886e-03      
   0.001185       2.772258         1.174015e-03      
   0.001185       2.811780         9.188071e-04      
   0.001185       2.847765         7.145285e-04      
   0.001185       2.880118         5.554516e-04      
   0.001185       2.908749         4.341492e-04      
   0.001185       2.933583         3.432784e-04      
   0.001185       2.954553         2.764145e-04      
