# vlowk itz =  0 l =  1 s =  1 jt =  0 kvnn =  16  Lambda =  12.00
#  fac=0.25 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V 
   0.001185   0.001185   -2.740922605668E-06
   0.001185   0.006239   -1.754929177263E-05
   0.001185   0.015318   -4.045112017144E-05
   0.001185   0.028399   -7.584389737724E-05
   0.001185   0.045447   -1.207278168601E-04
   0.001185   0.066417   -1.752403515181E-04
   0.001185   0.091251   -2.380513740480E-04
   0.001185   0.119882   -3.073560473473E-04
   0.001185   0.152235   -3.806560989245E-04
   0.001185   0.188220   -4.547811857429E-04
   0.001185   0.227742   -5.260501842927E-04
   0.001185   0.270694   -5.905746287546E-04
   0.001185   0.316959   -6.446690240496E-04
   0.001185   0.366414   -6.852862685194E-04
   0.001185   0.418925   -7.103746267879E-04
   0.001185   0.474351   -7.190688394155E-04
   0.001185   0.532541   -7.116770761438E-04
   0.001185   0.593339   -6.894929719254E-04
   0.001185   0.656582   -6.545000726521E-04
   0.001185   0.722098   -6.090491406378E-04
   0.001185   0.789711   -5.555799368633E-04
   0.001185   0.859239   -4.964184770481E-04
   0.001185   0.930495   -4.336524071921E-04
   0.001185   1.003286   -3.690760455533E-04
   0.001185   1.077416   -3.041828543354E-04
   0.001185   1.152685   -2.401851163994E-04
   0.001185   1.228890   -1.780462012497E-04
   0.001185   1.305826   -1.185153968410E-04
   0.001185   1.383286   -6.216129929847E-05
   0.001185   1.461060   -9.401590660210E-06
   0.001185   1.538940    3.947796924558E-05
   0.001185   1.616714    8.429879770758E-05
   0.001185   1.694174    1.249802449388E-04
   0.001185   1.771110    1.615183748317E-04
   0.001185   1.847315    1.939815309088E-04
   0.001185   1.922584    2.224961673637E-04
   0.001185   1.996714    2.472369172934E-04
   0.001185   2.069505    2.684171304604E-04
   0.001185   2.140761    2.862792134303E-04
   0.001185   2.210289    3.010896890435E-04
   0.001185   2.277902    3.131267296682E-04
   0.001185   2.343418    3.226729145960E-04
   0.001185   2.406661    3.300148872691E-04
   0.001185   2.467459    3.354317383740E-04
   0.001185   2.525649    3.391910355180E-04
   0.001185   2.581075    3.415496569358E-04
   0.001185   2.633586    3.427474413499E-04
   0.001185   2.683041    3.430060483774E-04
