#       k             kp                 O11                    O12                    O21                    O22          
   0.000973       0.000973         -7.553136e-32          -1.522952e-25          1.522952e-25           6.053575e-49      
   0.000973       0.005125         4.448137e-17           3.133450e-21           1.160664e-22           -1.688478e-23     
   0.000973       0.012579         8.465724e-16           3.672114e-19           2.188572e-21           -4.558485e-29     
   0.000973       0.023314         6.286601e-15           9.409547e-18           1.620839e-20           -3.472239e-28     
   0.000973       0.037292         2.880365e-14           1.105997e-16           7.400806e-20           -1.500830e-27     
   0.000973       0.054469         9.801212e-14           8.041897e-16           2.503294e-19           -4.503605e-27     
   0.000973       0.074787         2.722784e-13           4.213775e-15           6.886553e-19           -9.580866e-27     
   0.000973       0.098178         6.523654e-13           1.738373e-14           1.625607e-18           -1.211154e-26     
   0.000973       0.124565         1.395582e-12           5.970583e-14           3.404163e-18           7.665451e-27      
   0.000973       0.153859         2.728265e-12           1.772243e-13           6.463929e-18           1.051711e-25      
   0.000973       0.185965         4.954009e-12           4.667063e-13           1.129881e-17           4.062219e-25      
   0.000973       0.220775         8.455091e-12           1.111394e-12           1.838041e-17           1.157266e-24      
   0.000973       0.258173         1.368508e-11           2.427968e-12           2.805858e-17           2.785822e-24      
   0.000973       0.298036         2.115177e-11           4.920661e-12           4.046358e-17           5.954322e-24      
   0.000973       0.340231         3.139108e-11           9.334654e-12           5.544110e-17           1.157434e-23      
   0.000973       0.384617         4.493379e-11           1.669818e-11           7.254002e-17           -1.107919e-17     
   0.000973       0.431047         6.226809e-11           2.834252e-11           9.107046e-17           -1.742412e-17     
   0.000973       0.479368         8.380075e-11           4.589160e-11           1.102001e-16           -2.597295e-17     
   0.000973       0.529418         1.098196e-10           7.121762e-11           1.290710e-16           -3.690483e-17     
   0.000973       0.581031         1.404594e-10           1.063646e-10           1.469017e-16           -5.024507e-17     
   0.000973       0.634036         1.756721e-10           1.534456e-10           1.630351e-16           -6.586518e-17     
   0.000973       0.688256         2.152047e-10           2.145240e-10           1.770205e-16           -8.347949e-17     
