#       k             kp                  V           
   0.001185       0.001185         2.814343e-06      
   0.001185       0.006239         1.143622e-05      
   0.001185       0.015318         3.089701e-05      
   0.001185       0.028399         5.612832e-05      
   0.001185       0.045447         8.971719e-05      
   0.001185       0.066417         1.302254e-04      
   0.001185       0.091251         1.769372e-04      
   0.001185       0.119882         2.285391e-04      
   0.001185       0.152235         2.832267e-04      
   0.001185       0.188220         3.387372e-04      
   0.001185       0.227742         3.924832e-04      
   0.001185       0.270694         4.417957e-04      
   0.001185       0.316959         4.842402e-04      
   0.001185       0.366414         5.179374e-04      
   0.001185       0.418925         5.418074e-04      
   0.001185       0.474351         5.556706e-04      
   0.001185       0.532541         5.601848e-04      
   0.001185       0.593339         5.566507e-04      
   0.001185       0.656582         5.467496e-04      
   0.001185       0.722098         5.322772e-04      
   0.001185       0.789711         5.149318e-04      
   0.001185       0.859239         4.961751e-04      
   0.001185       0.930495         4.771625e-04      
   0.001185       1.003286         4.587311e-04      
   0.001185       1.077416         4.414254e-04      
   0.001185       1.152685         4.255417e-04      
   0.001185       1.228890         4.111802e-04      
   0.001185       1.305826         3.982953e-04      
   0.001185       1.383286         3.867423e-04      
   0.001185       1.461060         3.763165e-04      
   0.001185       1.538940         3.667826e-04      
   0.001185       1.616714         3.579027e-04      
   0.001185       1.694174         3.494501e-04      
   0.001185       1.771110         3.412275e-04      
   0.001185       1.847315         3.330703e-04      
   0.001185       1.922584         3.248528e-04      
   0.001185       1.996714         3.164894e-04      
   0.001185       2.069505         3.079325e-04      
   0.001185       2.140761         2.991698e-04      
   0.001185       2.210289         2.902172e-04      
   0.001185       2.277902         2.811161e-04      
   0.001185       2.343418         2.719272e-04      
   0.001185       2.406661         2.627218e-04      
   0.001185       2.467459         2.535800e-04      
   0.001185       2.525649         2.445853e-04      
   0.001185       2.581075         2.358187e-04      
   0.001185       2.633586         2.273573e-04      
   0.001185       2.683041         2.192720e-04      
   0.001185       2.729306         2.116256e-04      
   0.001185       2.772258         2.044724e-04      
   0.001185       2.811780         1.978586e-04      
   0.001185       2.847765         1.918201e-04      
   0.001185       2.880118         1.863859e-04      
   0.001185       2.908749         1.815798e-04      
   0.001185       2.933583         1.774161e-04      
   0.001185       2.954553         1.739082e-04      
   0.001185       2.971601         1.710633e-04      
   0.001185       2.984682         1.688858e-04      
   0.001185       2.993761         1.673796e-04      
   0.001185       2.998815         1.665461e-04      
   0.001185       3.004739         1.655376e-04      
   0.001185       3.024957         1.621413e-04      
   0.001185       3.061273         1.561076e-04      
   0.001185       3.113597         1.475311e-04      
   0.001185       3.181789         1.365788e-04      
   0.001185       3.265666         1.235216e-04      
   0.001185       3.365002         1.087601e-04      
   0.001185       3.479529         9.284491e-05      
   0.001185       3.608938         7.646309e-05      
   0.001185       3.752880         6.040195e-05      
   0.001185       3.910968         4.546736e-05      
   0.001185       4.082775         3.237475e-05      
   0.001185       4.267838         2.163244e-05      
   0.001185       4.465657         1.345233e-05      
   0.001185       4.675701         7.723927e-06      
   0.001185       4.897402         4.068471e-06      
   0.001185       5.130163         1.960127e-06      
   0.001185       5.373356         8.667171e-07      
   0.001185       5.626327         3.562384e-07      
   0.001185       5.888392         1.390390e-07      
   0.001185       6.158845         5.256292e-08      
   0.001185       6.436958         1.926877e-08      
   0.001185       6.721980         6.681194e-09      
   0.001185       7.013143         2.107369e-09      
   0.001185       7.309662         5.829822e-10      
   0.001185       7.610739         1.378980e-10      
   0.001185       7.915560         2.754253e-11      
   0.001185       8.223305         4.649077e-12      
   0.001185       8.533144         6.730876e-13      
   0.001185       8.844241         8.619884e-14      
   0.001185       9.155759         1.013046e-14      
   0.001185       9.466856         1.126852e-15      
   0.001185       9.776695         1.195186e-16      
   0.001185       10.084440        1.198495e-17      
   0.001185       10.389261        1.139716e-18      
   0.001185       10.690338        1.063742e-19      
   0.001185       10.986857        1.026165e-20      
   0.001185       11.278020        1.065414e-21      
   0.001185       11.563042        2.554298e-22      
   0.001185       11.841155        3.029380e-22      
   0.001185       12.111608        -1.047940e-20     
   0.001185       12.373673        -1.943003e-19     
   0.001185       12.626644        -2.141770e-18     
   0.001185       12.869837        -1.646078e-17     
   0.001185       13.102598        -5.975206e-17     
   0.001185       13.324299        4.818814e-16      
   0.001185       13.534343        9.628622e-15      
   0.001185       13.732162        7.972091e-14      
   0.001185       13.917225        4.224983e-13      
   0.001185       14.089032        1.603755e-12      
   0.001185       14.247120        4.654894e-12      
   0.001185       14.391062        1.089999e-11      
   0.001185       14.520471        2.165332e-11      
   0.001185       14.634998        3.834187e-11      
   0.001185       14.734334        6.362603e-11      
   0.001185       14.818211        1.044699e-10      
