#       k             kp                  V           
   0.000790       0.000790         0.000000e+00      
   0.000790       0.004159         -2.989792e-17     
   0.000790       0.010212         -1.058266e-15     
   0.000790       0.018933         -1.158327e-14     
   0.000790       0.030298         -6.394778e-14     
   0.000790       0.044278         -2.142797e-13     
   0.000790       0.060834         -4.610575e-13     
   0.000790       0.079922         -5.907069e-13     
   0.000790       0.101490         -5.076339e-13     
   0.000790       0.125480         -2.527285e-13     
   0.000790       0.151828         -8.459078e-14     
   0.000790       0.180462         -2.259396e-14     
   0.000790       0.211306         -6.723626e-15     
   0.000790       0.244276         -3.885440e-15     
   0.000790       0.279283         -4.082800e-15     
   0.000790       0.316234         -5.299994e-15     
   0.000790       0.355027         -6.982807e-15     
   0.000790       0.395559         -8.836083e-15     
   0.000790       0.437721         -1.062660e-14     
   0.000790       0.481399         -1.214090e-14     
   0.000790       0.526474         -1.321094e-14     
   0.000790       0.572826         -1.374982e-14     
   0.000790       0.620330         -1.376881e-14     
   0.000790       0.668857         -1.336307e-14     
   0.000790       0.718277         -1.267062e-14     
   0.000790       0.768456         -1.182279e-14     
   0.000790       0.819260         -1.090930e-14     
   0.000790       0.870551         -9.971548e-15     
   0.000790       0.922191         -9.021641e-15     
   0.000790       0.974040         -8.070261e-15     
   0.000790       1.025960         -7.144179e-15     
   0.000790       1.077809         -6.284028e-15     
   0.000790       1.129449         -5.527458e-15     
   0.000790       1.180740         -4.891673e-15     
   0.000790       1.231544         -4.367570e-15     
   0.000790       1.281723         -3.928082e-15     
   0.000790       1.331143         -3.543848e-15     
   0.000790       1.379670         -3.196109e-15     
   0.000790       1.427174         -2.880546e-15     
   0.000790       1.473526         -2.602468e-15     
   0.000790       1.518601         -2.368434e-15     
   0.000790       1.562279         -2.179830e-15     
   0.000790       1.604441         -2.031127e-15     
   0.000790       1.644973         -1.912202e-15     
   0.000790       1.683766         -1.812274e-15     
   0.000790       1.720717         -1.723090e-15     
   0.000790       1.755724         -1.640216e-15     
   0.000790       1.788694         -1.562575e-15     
   0.000790       1.819538         -1.491080e-15     
   0.000790       1.848172         -1.427206e-15     
   0.000790       1.874520         -1.372030e-15     
   0.000790       1.898510         -1.325839e-15     
   0.000790       1.920078         -1.288178e-15     
   0.000790       1.939166         -1.258109e-15     
   0.000790       1.955722         -1.234513e-15     
   0.000790       1.969702         -1.216310e-15     
   0.000790       1.981067         -1.202595e-15     
   0.000790       1.989788         -1.192678e-15     
   0.000790       1.995841         -1.186082e-15     
   0.000790       1.999210         -1.182505e-15     
   0.000790       2.003160         1.592106e-17      
   0.000790       2.016638         1.598690e-17      
   0.000790       2.040848         1.612206e-17      
   0.000790       2.075731         1.636564e-17      
   0.000790       2.121193         1.679476e-17      
   0.000790       2.177111         1.753286e-17      
   0.000790       2.243335         1.872704e-17      
   0.000790       2.319686         2.048419e-17      
   0.000790       2.405959         2.281480e-17      
   0.000790       2.501920         2.565807e-17      
   0.000790       2.607312         2.895475e-17      
   0.000790       2.721850         3.266430e-17      
   0.000790       2.845225         3.672992e-17      
   0.000790       2.977105         4.104827e-17      
   0.000790       3.117134         4.544955e-17      
   0.000790       3.264935         4.967725e-17      
   0.000790       3.420109         5.336895e-17      
   0.000790       3.582238         5.603936e-17      
