#       k             kp                  V           
   0.000790       0.000790         -2.761960e-12     
   0.000790       0.004159         -7.527864e-11     
   0.000790       0.010212         -4.537590e-10     
   0.000790       0.018933         -1.558766e-09     
   0.000790       0.030298         -3.979724e-09     
   0.000790       0.044278         -8.452658e-09     
   0.000790       0.060834         -1.581794e-08     
   0.000790       0.079922         -2.694653e-08     
   0.000790       0.101490         -4.263947e-08     
   0.000790       0.125480         -6.349973e-08     
   0.000790       0.151828         -8.978785e-08     
   0.000790       0.180462         -1.212851e-07     
   0.000790       0.211306         -1.571950e-07     
   0.000790       0.244276         -1.961210e-07     
   0.000790       0.279283         -2.361491e-07     
   0.000790       0.316234         -2.750468e-07     
   0.000790       0.355027         -3.105530e-07     
   0.000790       0.395559         -3.407015e-07     
   0.000790       0.437721         -3.641002e-07     
   0.000790       0.481399         -3.800891e-07     
   0.000790       0.526474         -3.887353e-07     
   0.000790       0.572826         -3.906808e-07     
   0.000790       0.620330         -3.869072e-07     
   0.000790       0.668857         -3.785073e-07     
   0.000790       0.718277         -3.665314e-07     
   0.000790       0.768456         -3.519288e-07     
   0.000790       0.819260         -3.355533e-07     
   0.000790       0.870551         -3.181775e-07     
   0.000790       0.922191         -3.004811e-07     
   0.000790       0.974040         -2.830117e-07     
   0.000790       1.025960         -2.661484e-07     
   0.000790       1.077809         -2.501016e-07     
   0.000790       1.129449         -2.349523e-07     
   0.000790       1.180740         -2.207149e-07     
   0.000790       1.231544         -2.073874e-07     
   0.000790       1.281723         -1.949735e-07     
   0.000790       1.331143         -1.834754e-07     
   0.000790       1.379670         -1.728770e-07     
   0.000790       1.427174         -1.631340e-07     
   0.000790       1.473526         -1.541792e-07     
   0.000790       1.518601         -1.459372e-07     
   0.000790       1.562279         -1.383394e-07     
   0.000790       1.604441         -1.313329e-07     
   0.000790       1.644973         -1.248797e-07     
   0.000790       1.683766         -1.189520e-07     
   0.000790       1.720717         -1.135255e-07     
   0.000790       1.755724         -1.085759e-07     
   0.000790       1.788694         -1.040775e-07     
   0.000790       1.819538         -1.000045e-07     
   0.000790       1.848172         -9.633265e-08     
   0.000790       1.874520         -9.304035e-08     
   0.000790       1.898510         -9.010956e-08     
   0.000790       1.920078         -8.752556e-08     
   0.000790       1.939166         -8.527646e-08     
   0.000790       1.955722         -8.335268e-08     
   0.000790       1.969702         -8.174646e-08     
   0.000790       1.981067         -8.045147e-08     
   0.000790       1.989788         -7.946268e-08     
   0.000790       1.995841         -7.877625e-08     
   0.000790       1.999210         -7.838940e-08     
   0.000790       2.003160         -7.798481e-08     
   0.000790       2.016638         -7.656401e-08     
   0.000790       2.040848         -7.401094e-08     
   0.000790       2.075731         -7.040442e-08     
   0.000790       2.121193         -6.585782e-08     
   0.000790       2.177111         -6.051485e-08     
   0.000790       2.243335         -5.453627e-08     
   0.000790       2.319686         -4.808231e-08     
   0.000790       2.405959         -4.132012e-08     
   0.000790       2.501920         -3.446399e-08     
   0.000790       2.607312         -2.777240e-08     
   0.000790       2.721850         -2.147347e-08     
   0.000790       2.845225         -1.576786e-08     
   0.000790       2.977105         -1.088034e-08     
   0.000790       3.117134         -6.959615e-09     
   0.000790       3.264935         -4.036286e-09     
   0.000790       3.420109         -2.068277e-09     
   0.000790       3.582238         -8.949522e-10     
   0.000790       3.750884         -2.980920e-10     
   0.000790       3.925594         -5.746789e-11     
   0.000790       4.105897         8.688415e-12      
   0.000790       4.291305         1.172131e-11      
   0.000790       4.481320         3.994373e-12      
   0.000790       4.675429         -1.668855e-13     
   0.000790       4.873108         -8.596129e-13     
   0.000790       5.073826         -4.911920e-13     
   0.000790       5.277040         -1.676649e-13     
   0.000790       5.482203         -3.761308e-14     
   0.000790       5.688763         -4.435180e-15     
   0.000790       5.896161         4.867048e-16      
   0.000790       6.103839         4.164492e-16      
