#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       0.001947         -9.873552e-23          -1.271238e-15          1.271238e-15           2.537293e-37      
   0.001947       0.010250         1.762369e-11           -2.828598e-13          1.020678e-14           -2.527519e-22     
   0.001947       0.025159         3.363822e-10           -5.230906e-12          3.138990e-14           -2.899797e-20     
   0.001947       0.046627         2.504734e-09           -3.868467e-11          6.796635e-14           -7.366364e-19     
   0.001947       0.074585         1.150290e-08           -1.764763e-10          1.226583e-13           -8.528575e-18     
   0.001947       0.108938         3.920857e-08           -5.951594e-10          1.981665e-13           -6.034867e-17     
   0.001947       0.149573         1.090079e-07           -1.626969e-09          2.972980e-13           -3.025226e-16     
   0.001947       0.196355         2.610551e-07           -3.800627e-09          4.226040e-13           -1.168273e-15     
   0.001947       0.249129         5.572782e-07           -7.841700e-09          5.753193e-13           -3.660821e-15     
   0.001947       0.307719         1.084823e-06           -1.461443e-08          7.537491e-13           -9.639403e-15     
   0.001947       0.371930         1.956320e-06           -2.501421e-08          9.517934e-13           -2.188631e-14     
   0.001947       0.441550         3.305310e-06           -3.985574e-08          1.158526e-12           -4.375331e-14     
   0.001947       0.516347         5.275559e-06           -5.982149e-08          1.359266e-12           -7.841790e-14     
   0.001947       0.596072         8.003856e-06           -8.551804e-08          1.537704e-12           -1.280582e-13     
   0.001947       0.680461         1.159738e-05           -1.176381e-07          1.678153e-12           -1.933174e-13     
   0.001947       0.769234         1.610848e-05           -1.571726e-07          1.767236e-12           -2.732224e-13     
   0.001947       0.862094         2.151136e-05           -2.055828e-07          1.794870e-12           -3.654600e-13     
   0.001947       0.958735         2.768629e-05           -2.648416e-07          1.754760e-12           -4.667919e-13     
   0.001947       1.058835         3.441651e-05           -3.372716e-07          1.644591e-12           -5.734338e-13     
   0.001947       1.162061         4.140134e-05           -4.251523e-07          1.465986e-12           -6.813309e-13     
   0.001947       1.268071         4.828549e-05           -5.301166e-07          1.224172e-12           -7.863405e-13     
