#       k             kp                  V           
   0.001580       0.001580         -8.417401e-12     
   0.001580       0.008319         -2.332338e-10     
   0.001580       0.020424         -1.404674e-09     
   0.001580       0.037866         -4.801425e-09     
   0.001580       0.060596         -1.215939e-08     
   0.001580       0.088555         -2.544964e-08     
   0.001580       0.121667         -4.646440e-08     
   0.001580       0.159843         -7.621785e-08     
   0.001580       0.202979         -1.142616e-07     
   0.001580       0.250960         -1.581801e-07     
   0.001580       0.303656         -2.036238e-07     
   0.001580       0.360925         -2.451412e-07     
   0.001580       0.422613         -2.776851e-07     
   0.001580       0.488552         -2.981621e-07     
   0.001580       0.558567         -3.061722e-07     
   0.001580       0.632467         -3.035294e-07     
   0.001580       0.710054         -2.930473e-07     
   0.001580       0.791119         -2.775497e-07     
   0.001580       0.875442         -2.595488e-07     
   0.001580       0.962797         -2.411452e-07     
   0.001580       1.052948         -2.237008e-07     
   0.001580       1.145653         -2.076310e-07     
   0.001580       1.240660         -1.927988e-07     
   0.001580       1.337714         -1.790873e-07     
   0.001580       1.436554         -1.664304e-07     
   0.001580       1.536913         -1.545600e-07     
   0.001580       1.638520         -1.431484e-07     
   0.001580       1.741102         -1.321176e-07     
   0.001580       1.844381         -1.215243e-07     
   0.001580       1.948080         -1.113113e-07     
   0.001580       2.051920         -1.014212e-07     
   0.001580       2.155619         -9.195470e-08     
   0.001580       2.258898         -8.301841e-08     
   0.001580       2.361480         -7.460080e-08     
   0.001580       2.463087         -6.669965e-08     
   0.001580       2.563446         -5.938768e-08     
   0.001580       2.662286         -5.269594e-08     
   0.001580       2.759340         -4.657619e-08     
   0.001580       2.854347         -4.099549e-08     
   0.001580       2.947052         -3.596244e-08     
   0.001580       3.037203         -3.146091e-08     
   0.001580       3.124558         -2.743202e-08     
   0.001580       3.208881         -2.382293e-08     
   0.001580       3.289946         -2.061006e-08     
   0.001580       3.367533         -1.777351e-08     
   0.001580       3.441433         -1.527612e-08     
   0.001580       3.511448         -1.307303e-08     
   0.001580       3.577387         -1.112930e-08     
   0.001580       3.639075         -9.422988e-09     
   0.001580       3.696344         -7.937105e-09     
   0.001580       3.749040         -6.652914e-09     
   0.001580       3.797021         -5.549638e-09     
   0.001580       3.840157         -4.607446e-09     
   0.001580       3.878333         -3.809764e-09     
   0.001580       3.911445         -3.143695e-09     
   0.001580       3.939404         -2.599283e-09     
   0.001580       3.962134         -2.168657e-09     
   0.001580       3.979576         -1.845521e-09     
   0.001580       3.991681         -1.624982e-09     
   0.001580       3.998420         -1.503536e-09     
   0.001580       4.010268         -1.292342e-09     
   0.001580       4.054073         -5.374041e-10     
   0.001580       4.132757         7.157168e-10      
   0.001580       4.246126         2.302539e-09      
   0.001580       4.393877         4.041384e-09      
   0.001580       4.575611         5.694370e-09      
   0.001580       4.790838         7.028898e-09      
   0.001580       5.038980         7.839180e-09      
   0.001580       5.319366         7.980434e-09      
   0.001580       5.631241         7.389790e-09      
   0.001580       5.973764         6.166590e-09      
   0.001580       6.346012         4.564103e-09      
   0.001580       6.746981         2.928788e-09      
   0.001580       7.175591         1.581610e-09      
   0.001580       7.630685         6.897990e-10      
   0.001580       8.111038         2.287176e-10      
   0.001580       8.615353         5.203733e-11      
   0.001580       9.142272         6.407822e-12      
   0.001580       9.690374         1.799855e-13      
   0.001580       10.258182        1.730754e-13      
   0.001580       10.844164        1.520436e-13      
   0.001580       11.446741        4.874598e-14      
   0.001580       12.064289        7.925280e-15      
   0.001580       12.695143        4.695506e-16      
   0.001580       13.337602        -7.124964e-17     
   0.001580       13.989934        -1.805471e-17     
   0.001580       14.650380        -1.440331e-18     
   0.001580       15.317161        2.246504e-20      
   0.001580       15.988479        1.380374e-20      
   0.001580       16.662523        9.887775e-22      
   0.001580       17.337477        -4.841615e-25     
   0.001580       18.011521        -4.009676e-24     
   0.001580       18.682839        -2.076048e-25     
   0.001580       19.349620        1.116649e-27      
   0.001580       20.010066        5.000636e-28      
   0.001580       20.662398        1.624032e-29      
   0.001580       21.304857        -2.594765e-31     
   0.001580       21.935711        -1.969316e-31     
   0.001580       22.553259        -4.231958e-30     
   0.001580       23.155836        -1.063262e-28     
   0.001580       23.741818        -2.588195e-27     
   0.001580       24.309626        -5.996636e-26     
   0.001580       24.857728        -1.299813e-24     
   0.001580       25.384647        -2.597320e-23     
   0.001580       25.888962        -4.695035e-22     
   0.001580       26.369315        -7.519295e-21     
   0.001580       26.824409        -1.060220e-19     
   0.001580       27.253019        -1.301229e-18     
   0.001580       27.653988        -1.333146e-17     
   0.001580       28.026236        -1.125169e-16     
   0.001580       28.368759        -8.240193e-16     
   0.001580       28.680634        -5.157413e-15     
   0.001580       28.961020        -2.469286e-14     
   0.001580       29.209162        -8.572036e-14     
   0.001580       29.424389        -2.239024e-13     
   0.001580       29.606123        -4.794433e-13     
   0.001580       29.753874        -9.390436e-13     
   0.001580       29.867243        -1.932646e-12     
   0.001580       29.945927        -5.509509e-12     
   0.001580       29.989732        -7.616898e-11     
   0.008319       0.001580         -2.332338e-10     
   0.008319       0.008319         -6.467009e-09     
   0.008319       0.020424         -3.895236e-08     
   0.008319       0.037866         -1.331461e-07     
   0.008319       0.060596         -3.371864e-07     
   0.008319       0.088555         -7.057323e-07     
   0.008319       0.121667         -1.288483e-06     
   0.008319       0.159843         -2.113562e-06     
   0.008319       0.202979         -3.168537e-06     
   0.008319       0.250960         -4.386420e-06     
   0.008319       0.303656         -5.646599e-06     
   0.008319       0.360925         -6.797897e-06     
   0.008319       0.422613         -7.700357e-06     
   0.008319       0.488552         -8.268197e-06     
   0.008319       0.558567         -8.490320e-06     
   0.008319       0.632467         -8.417035e-06     
   0.008319       0.710054         -8.126360e-06     
   0.008319       0.791119         -7.696604e-06     
   0.008319       0.875442         -7.197428e-06     
   0.008319       0.962797         -6.687088e-06     
   0.008319       1.052948         -6.203346e-06     
   0.008319       1.145653         -5.757720e-06     
   0.008319       1.240660         -5.346416e-06     
   0.008319       1.337714         -4.966188e-06     
   0.008319       1.436554         -4.615206e-06     
   0.008319       1.536913         -4.286032e-06     
   0.008319       1.638520         -3.969583e-06     
   0.008319       1.741102         -3.663694e-06     
   0.008319       1.844381         -3.369935e-06     
   0.008319       1.948080         -3.086723e-06     
   0.008319       2.051920         -2.812466e-06     
   0.008319       2.155619         -2.549955e-06     
   0.008319       2.258898         -2.302147e-06     
   0.008319       2.361480         -2.068722e-06     
   0.008319       2.463087         -1.849618e-06     
   0.008319       2.563446         -1.646854e-06     
   0.008319       2.662286         -1.461288e-06     
   0.008319       2.759340         -1.291584e-06     
   0.008319       2.854347         -1.136828e-06     
   0.008319       2.947052         -9.972587e-07     
   0.008319       3.037203         -8.724288e-07     
   0.008319       3.124558         -7.607054e-07     
   0.008319       3.208881         -6.606235e-07     
   0.008319       3.289946         -5.715286e-07     
   0.008319       3.367533         -4.928697e-07     
   0.008319       3.441433         -4.236154e-07     
   0.008319       3.511448         -3.625225e-07     
   0.008319       3.577387         -3.086218e-07     
   0.008319       3.639075         -2.613049e-07     
   0.008319       3.696344         -2.201005e-07     
   0.008319       3.749040         -1.844892e-07     
   0.008319       3.797021         -1.538947e-07     
   0.008319       3.840157         -1.277671e-07     
   0.008319       3.878333         -1.056470e-07     
   0.008319       3.911445         -8.717649e-08     
   0.008319       3.939404         -7.207962e-08     
   0.008319       3.962134         -6.013813e-08     
   0.008319       3.979576         -5.117738e-08     
   0.008319       3.991681         -4.506170e-08     
   0.008319       3.998420         -4.169394e-08     
   0.008319       4.010268         -3.583739e-08     
   0.008319       4.054073         -1.490253e-08     
   0.008319       4.132757         1.984725e-08      
   0.008319       4.246126         6.385076e-08      
   0.008319       4.393877         1.120700e-07      
   0.008319       4.575611         1.579083e-07      
   0.008319       4.790838         1.949156e-07      
   0.008319       5.038980         2.173853e-07      
   0.008319       5.319366         2.213024e-07      
   0.008319       5.631241         2.049236e-07      
   0.008319       5.973764         1.710035e-07      
   0.008319       6.346012         1.265656e-07      
   0.008319       6.746981         8.121728e-08      
   0.008319       7.175591         4.385917e-08      
   0.008319       7.630685         1.912863e-08      
   0.008319       8.111038         6.342518e-09      
   0.008319       8.615353         1.443041e-09      
   0.008319       9.142272         1.776963e-10      
   0.008319       9.690374         4.991742e-12      
   0.008319       10.258182        4.799590e-12      
   0.008319       10.844164        4.216282e-12      
   0.008319       11.446741        1.351760e-12      
   0.008319       12.064289        2.197735e-13      
   0.008319       12.695143        1.302096e-14      
   0.008319       13.337602        -1.975799e-15     
   0.008319       13.989934        -5.006687e-16     
   0.008319       14.650380        -3.994128e-17     
   0.008319       15.317161        6.229745e-19      
   0.008319       15.988479        3.827867e-19      
   0.008319       16.662523        2.741940e-20      
   0.008319       17.337477        -1.342936e-23     
   0.008319       18.011521        -1.111909e-22     
   0.008319       18.682839        -5.757003e-24     
   0.008319       19.349620        3.096605e-26      
   0.008319       20.010066        1.386708e-26      
   0.008319       20.662398        4.503530e-28      
   0.008319       21.304857        -7.195465e-30     
   0.008319       21.935711        -5.460231e-30     
   0.008319       22.553259        -1.173343e-28     
   0.008319       23.155836        -2.947976e-27     
   0.008319       23.741818        -7.175972e-26     
   0.008319       24.309626        -1.662614e-24     
   0.008319       24.857728        -3.603833e-23     
   0.008319       25.384647        -7.201270e-22     
   0.008319       25.888962        -1.301735e-20     
   0.008319       26.369315        -2.084783e-19     
   0.008319       26.824409        -2.939541e-18     
   0.008319       27.253019        -3.607758e-17     
   0.008319       27.653988        -3.696252e-16     
   0.008319       28.026236        -3.119617e-15     
   0.008319       28.368759        -2.284658e-14     
   0.008319       28.680634        -1.429933e-13     
   0.008319       28.961020        -6.846288e-13     
   0.008319       29.209162        -2.376664e-12     
   0.008319       29.424389        -6.207868e-12     
   0.008319       29.606123        -1.329294e-11     
   0.008319       29.753874        -2.603571e-11     
   0.008319       29.867243        -5.358412e-11     
   0.008319       29.945927        -1.527554e-10     
   0.008319       29.989732        -2.111844e-09     
   0.020424       0.001580         -1.404674e-09     
   0.020424       0.008319         -3.895236e-08     
   0.020424       0.020424         -2.345967e-07     
   0.020424       0.037866         -8.018930e-07     
   0.020424       0.060596         -2.030784e-06     
   0.020424       0.088555         -4.250540e-06     
   0.020424       0.121667         -7.760689e-06     
   0.020424       0.159843         -1.273101e-05     
   0.020424       0.202979         -1.908725e-05     
   0.020424       0.250960         -2.642666e-05     
   0.020424       0.303656         -3.402331e-05     
   0.020424       0.360925         -4.096639e-05     
   0.020424       0.422613         -4.641151e-05     
   0.020424       0.488552         -4.983966e-05     
   0.020424       0.558567         -5.118169e-05     
   0.020424       0.632467         -5.073976e-05     
   0.020424       0.710054         -4.898509e-05     
   0.020424       0.791119         -4.639194e-05     
   0.020424       0.875442         -4.338201e-05     
   0.020424       0.962797         -4.030660e-05     
   0.020424       1.052948         -3.739217e-05     
   0.020424       1.145653         -3.470698e-05     
   0.020424       1.240660         -3.222770e-05     
   0.020424       1.337714         -2.993501e-05     
   0.020424       1.436554         -2.781861e-05     
   0.020424       1.536913         -2.583436e-05     
   0.020424       1.638520         -2.392753e-05     
   0.020424       1.741102         -2.208430e-05     
   0.020424       1.844381         -2.031352e-05     
   0.020424       1.948080         -1.860589e-05     
   0.020424       2.051920         -1.695244e-05     
   0.020424       2.155619         -1.537022e-05     
   0.020424       2.258898         -1.387681e-05     
   0.020424       2.361480         -1.246999e-05     
   0.020424       2.463087         -1.114922e-05     
   0.020424       2.563446         -9.926765e-06     
   0.020424       2.662286         -8.808044e-06     
   0.020424       2.759340         -7.785175e-06     
   0.020424       2.854347         -6.852564e-06     
   0.020424       2.947052         -6.011418e-06     
   0.020424       3.037203         -5.258932e-06     
   0.020424       3.124558         -4.585345e-06     
   0.020424       3.208881         -3.981962e-06     
   0.020424       3.289946         -3.444904e-06     
   0.020424       3.367533         -2.970827e-06     
   0.020424       3.441433         -2.553467e-06     
   0.020424       3.511448         -2.185284e-06     
   0.020424       3.577387         -1.860412e-06     
   0.020424       3.639075         -1.575179e-06     
   0.020424       3.696344         -1.326759e-06     
   0.020424       3.749040         -1.112042e-06     
   0.020424       3.797021         -9.275762e-07     
   0.020424       3.840157         -7.700561e-07     
   0.020424       3.878333         -6.367126e-07     
   0.020424       3.911445         -5.253844e-07     
   0.020424       3.939404         -4.344001e-07     
   0.020424       3.962134         -3.624379e-07     
   0.020424       3.979576         -3.084409e-07     
   0.020424       3.991681         -2.715891e-07     
   0.020424       3.998420         -2.512960e-07     
   0.020424       4.010268         -2.160064e-07     
   0.020424       4.054073         -8.985996e-08     
   0.020424       4.132757         1.195550e-07      
   0.020424       4.246126         3.848285e-07      
   0.020424       4.393877         6.755801e-07      
   0.020424       4.575611         9.518638e-07      
   0.020424       4.790838         1.174863e-06      
   0.020424       5.038980         1.310399e-06      
   0.020424       5.319366         1.333939e-06      
   0.020424       5.631241         1.235266e-06      
   0.020424       5.973764         1.030764e-06      
   0.020424       6.346012         7.629276e-07      
   0.020424       6.746981         4.895714e-07      
   0.020424       7.175591         2.643746e-07      
   0.020424       7.630685         1.153054e-07      
   0.020424       8.111038         3.823338e-08      
   0.020424       8.615353         8.699107e-09      
   0.020424       9.142272         1.071249e-09      
   0.020424       9.690374         3.010125e-11      
   0.020424       10.258182        2.893009e-11      
   0.020424       10.844164        2.541468e-11      
   0.020424       11.446741        8.148225e-12      
   0.020424       12.064289        1.324794e-12      
   0.020424       12.695143        7.849548e-14      
   0.020424       13.337602        -1.190923e-14     
   0.020424       13.989934        -3.017980e-15     
   0.020424       14.650380        -2.407704e-16     
   0.020424       15.317161        3.754304e-18      
   0.020424       15.988479        2.307382e-18      
   0.020424       16.662523        1.652858e-19      
   0.020424       17.337477        -8.056597e-23     
   0.020424       18.011521        -6.702436e-22     
   0.020424       18.682839        -3.470368e-23     
   0.020424       19.349620        1.866049e-25      
   0.020424       20.010066        8.358954e-26      
   0.020424       20.662398        2.714791e-27      
   0.020424       21.304857        -4.336763e-29     
   0.020424       21.935711        -3.284340e-29     
   0.020424       22.553259        -7.054831e-28     
   0.020424       23.155836        -1.772497e-26     
   0.020424       23.741818        -4.314617e-25     
   0.020424       24.309626        -9.996614e-24     
   0.020424       24.857728        -2.166837e-22     
   0.020424       25.384647        -4.329828e-21     
   0.020424       25.888962        -7.826799e-20     
   0.020424       26.369315        -1.253494e-18     
   0.020424       26.824409        -1.767426e-17     
   0.020424       27.253019        -2.169197e-16     
   0.020424       27.653988        -2.222405e-15     
   0.020424       28.026236        -1.875698e-14     
   0.020424       28.368759        -1.373671e-13     
   0.020424       28.680634        -8.597601e-13     
   0.020424       28.961020        -4.116393e-12     
   0.020424       29.209162        -1.428990e-11     
   0.020424       29.424389        -3.732536e-11     
   0.020424       29.606123        -7.992497e-11     
   0.020424       29.753874        -1.565421e-10     
   0.020424       29.867243        -3.221798e-10     
   0.020424       29.945927        -9.184829e-10     
