#       k             kp                 V11                    V12                    V21                    V22          
   0.000973       0.000973         -1.446929e+00          -3.716315e-06          -3.716315e-06          3.584883e-12      
   0.000973       0.005125         -1.446884e+00          -1.030228e-04          -3.715837e-06          9.868062e-11      
   0.000973       0.012579         -1.446653e+00          -6.205229e-04          -3.713345e-06          5.941504e-10      
   0.000973       0.023314         -1.445977e+00          -2.129595e-03          -3.706085e-06          2.036869e-09      
   0.000973       0.037292         -1.444493e+00          -5.438935e-03          -3.690194e-06          5.189716e-09      
   0.000973       0.054469         -1.441745e+00          -1.156341e-02          -3.660891e-06          1.098483e-08      
   0.000973       0.074787         -1.437199e+00          -2.167537e-02          -3.612815e-06          2.044025e-08      
   0.000973       0.098178         -1.430273e+00          -3.703104e-02          -3.540530e-06          3.453135e-08      
   0.000973       0.124565         -1.420376e+00          -5.886962e-02          -3.439219e-06          5.401851e-08      
   0.000973       0.153859         -1.406955e+00          -8.828826e-02          -3.305484e-06          7.925031e-08      
   0.000973       0.185965         -1.389541e+00          -1.261038e-01          -3.138140e-06          1.099816e-07      
   0.000973       0.220775         -1.367806e+00          -1.727203e-01          -2.938796e-06          1.452610e-07      
   0.000973       0.258173         -1.341597e+00          -2.280267e-01          -2.712037e-06          1.834407e-07      
   0.000973       0.298036         -1.310957e+00          -2.913492e-01          -2.465074e-06          2.223354e-07      
   0.000973       0.340231         -1.276120e+00          -3.614730e-01          -2.206894e-06          2.595112e-07      
   0.000973       0.384617         -1.237482e+00          -4.367363e-01          -1.947085e-06          2.926408e-07      
   0.000973       0.431047         -1.195547e+00          -5.151808e-01          -1.694619e-06          3.198327e-07      
   0.000973       0.479368         -1.150872e+00          -5.947315e-01          -1.456881e-06          3.398561e-07      
   0.000973       0.529418         -1.104002e+00          -6.733738e-01          -1.239111e-06          3.522185e-07      
   0.000973       0.581031         -1.055424e+00          -7.493015e-01          -1.044293e-06          3.571060e-07      
   0.000973       0.634036         -1.005530e+00          -8.210186e-01          -8.734038e-07          3.552280e-07      
   0.000973       0.688256         -9.546100e-01          -8.873911e-01          -7.258624e-07          3.476234e-07      
   0.000973       0.743512         -9.028431e-01          -9.476538e-01          -6.000388e-07          3.354757e-07      
   0.000973       0.799621         -8.503168e-01          -1.001384e+00          -4.937149e-07          3.199676e-07      
   0.000973       0.856395         -7.970447e-01          -1.048454e+00          -4.044451e-07          3.021821e-07      
   0.000973       0.913645         -7.429910e-01          -1.088975e+00          -3.298056e-07          2.830505e-07      
   0.000973       0.971183         -6.880941e-01          -1.123237e+00          -2.675447e-07          2.633336e-07      
   0.000973       1.028817         -6.225373e-01          -1.149687e+00          -2.154061e-07          2.436304e-07      
   0.000973       1.086355         -5.667814e-01          -1.172415e+00          -1.721567e-07          2.243767e-07      
   0.000973       1.143605         -5.100306e-01          -1.190278e+00          -1.360853e-07          2.059000e-07      
   0.000973       1.200379         -4.523136e-01          -1.203804e+00          -1.059637e-07          1.884181e-07      
   0.000973       1.256488         -3.937190e-01          -1.213498e+00          -8.077324e-08          1.720677e-07      
   0.000973       1.311744         -3.344011e-01          -1.219825e+00          -5.967374e-08          1.569224e-07      
   0.000973       1.365964         -2.745824e-01          -1.223192e+00          -4.197369e-08          1.430077e-07      
   0.000973       1.418969         -2.145505e-01          -1.223951e+00          -2.710424e-08          1.303134e-07      
   0.000973       1.470582         -1.546527e-01          -1.222391e+00          -1.459698e-08          1.188031e-07      
   0.000973       1.520632         -9.528495e-02          -1.218747e+00          -4.065504e-09          1.084217e-07      
   0.000973       1.568953         -3.687949e-02          -1.213212e+00          4.809764e-09           9.910213e-08      
   0.000973       1.615383         2.011148e-02           -1.205948e+00          1.229376e-08           9.076988e-08      
   0.000973       1.659769         7.523280e-02           -1.197103e+00          1.860666e-08           8.334724e-08      
   0.000973       1.701964         1.280438e-01           -1.186832e+00          2.393179e-08           7.675657e-08      
   0.000973       1.741827         1.781346e-01           -1.175305e+00          2.842204e-08           7.092283e-08      
   0.000973       1.779225         2.251405e-01           -1.162727e+00          3.220497e-08           6.577558e-08      
   0.000973       1.814035         2.687526e-01           -1.149341e+00          3.538703e-08           6.125031e-08      
   0.000973       1.846141         3.087244e-01           -1.135435e+00          3.805702e-08           5.728925e-08      
   0.000973       1.875435         3.448747e-01           -1.121335e+00          4.028886e-08           5.384180e-08      
   0.000973       1.901822         3.770847e-01           -1.107400e+00          4.214400e-08           5.086445e-08      
   0.000973       1.925213         4.052924e-01           -1.094008e+00          4.367328e-08           4.832051e-08      
   0.000973       1.945531         4.294833e-01           -1.081543e+00          4.491854e-08           4.617961e-08      
   0.000973       1.962708         4.496785e-01           -1.070374e+00          4.591385e-08           4.441710e-08      
   0.000973       1.976686         4.659227e-01           -1.060843e+00          4.668650e-08           4.301342e-08      
   0.000973       1.987421         4.782713e-01           -1.053249e+00          4.725778e-08           4.195356e-08      
   0.000973       1.994875         4.867790e-01           -1.047832e+00          4.764350e-08           4.122648e-08      
   0.000973       1.999027         4.914921e-01           -1.044763e+00          4.785446e-08           4.082468e-08      
   0.000973       2.001961         4.948128e-01           -1.042571e+00          4.800195e-08           4.054198e-08      
   0.000973       2.010330         5.042301e-01           -1.036218e+00          4.841511e-08           3.974183e-08      
   0.000973       2.025365         5.209513e-01           -1.024413e+00          4.913041e-08           3.832582e-08      
   0.000973       2.047037         5.445725e-01           -1.006497e+00          5.010218e-08           3.633177e-08      
   0.000973       2.075299         5.744427e-01           -9.814873e-01          5.126843e-08           3.381011e-08      
   0.000973       2.110086         6.095995e-01           -9.480605e-01          5.255453e-08           3.081948e-08      
   0.000973       2.151322         6.486877e-01           -9.045537e-01          5.387608e-08           2.742278e-08      
   0.000973       2.198915         6.898745e-01           -8.490264e-01          5.514005e-08           2.368490e-08      
   0.000973       2.252758         7.307806e-01           -7.794395e-01          5.624282e-08           1.967435e-08      
   0.000973       2.312731         7.684659e-01           -6.940344e-01          5.706419e-08           1.547100e-08      
   0.000973       2.378700         7.995197e-01           -5.920056e-01          5.745738e-08           1.118176e-08      
   0.000973       2.450518         8.203126e-01           -4.745188e-01          5.723758e-08           6.963130e-09      
   0.000973       2.528026         8.274381e-01           -3.459619e-01          5.617647e-08           3.042835e-09      
   0.000973       2.611049         8.182861e-01           -2.149720e-01          5.401688e-08           -2.768854e-10     
   0.000973       2.699403         7.915356e-01           -9.429280e-02          5.052607e-08           -2.661373e-09     
   0.000973       2.792891         7.472441e-01           1.716615e-03           4.559714e-08           -3.850977e-09     
   0.000973       2.891303         6.863754e-01           6.224451e-02           3.937303e-08           -3.812140e-09     
   0.000973       2.994421         6.102273e-01           8.569277e-02           3.231346e-08           -2.837992e-09     
   0.000973       3.102014         5.207870e-01           8.121144e-02           2.511041e-08           -1.474307e-09     
   0.000973       3.213842         4.222960e-01           6.331213e-02           1.845582e-08           -2.629034e-10     
   0.000973       3.329656         3.222528e-01           4.369832e-02           1.281874e-08           5.034613e-10      
   0.000973       3.449197         2.297876e-01           2.770412e-02           8.386099e-09           8.140234e-10      
   0.000973       3.572198         1.523312e-01           1.629770e-02           5.135949e-09           8.059449e-10      
