#       k             kp                  V           
   0.000790       0.000790         1.867280e-06      
   0.000790       0.004159         9.833053e-06      
   0.000790       0.010212         2.413863e-05      
   0.000790       0.018933         4.470587e-05      
   0.000790       0.030298         7.137835e-05      
   0.000790       0.044278         1.038841e-04      
   0.000790       0.060834         1.417656e-04      
   0.000790       0.079922         1.843269e-04      
   0.000790       0.101490         2.305807e-04      
   0.000790       0.125480         2.792337e-04      
   0.000790       0.151828         3.286915e-04      
   0.000790       0.180462         3.771130e-04      
   0.000790       0.211306         4.225238e-04      
   0.000790       0.244276         4.629758e-04      
   0.000790       0.279283         4.967374e-04      
   0.000790       0.316234         5.224817e-04      
   0.000790       0.355027         5.394332e-04      
   0.000790       0.395559         5.474393e-04      
   0.000790       0.437721         5.469463e-04      
   0.000790       0.481399         5.388874e-04      
   0.000790       0.526474         5.245143e-04      
   0.000790       0.572826         5.052174e-04      
   0.000790       0.620330         4.823776e-04      
   0.000790       0.668857         4.572692e-04      
   0.000790       0.718277         4.310131e-04      
   0.000790       0.768456         4.045580e-04      
   0.000790       0.819260         3.786712e-04      
   0.000790       0.870551         3.539299e-04      
   0.000790       0.922191         3.307193e-04      
   0.000790       0.974040         3.092493e-04      
   0.000790       1.025960         2.884313e-04      
   0.000790       1.077809         2.698664e-04      
   0.000790       1.129449         2.529505e-04      
   0.000790       1.180740         2.376003e-04      
   0.000790       1.231544         2.237218e-04      
   0.000790       1.281723         2.112073e-04      
   0.000790       1.331143         1.999346e-04      
   0.000790       1.379670         1.897724e-04      
   0.000790       1.427174         1.805911e-04      
   0.000790       1.473526         1.722732e-04      
   0.000790       1.518601         1.647193e-04      
   0.000790       1.562279         1.578479e-04      
   0.000790       1.604441         1.515914e-04      
   0.000790       1.644973         1.458916e-04      
   0.000790       1.683766         1.406965e-04      
   0.000790       1.720717         1.359596e-04      
   0.000790       1.755724         1.316402e-04      
   0.000790       1.788694         1.277041e-04      
   0.000790       1.819538         1.241239e-04      
   0.000790       1.848172         1.208785e-04      
   0.000790       1.874520         1.179520e-04      
   0.000790       1.898510         1.153328e-04      
   0.000790       1.920078         1.130120e-04      
   0.000790       1.939166         1.109834e-04      
   0.000790       1.955722         1.092421e-04      
   0.000790       1.969702         1.077843e-04      
   0.000790       1.981067         1.066073e-04      
   0.000790       1.989788         1.057091e-04      
   0.000790       1.995841         1.050880e-04      
   0.000790       1.999210         1.047431e-04      
   0.000790       2.003160         1.043396e-04      
   0.000790       2.016638         1.029687e-04      
   0.000790       2.040848         1.005287e-04      
   0.000790       2.075731         9.706075e-05      
   0.000790       2.121193         9.261631e-05      
   0.000790       2.177111         8.724821e-05      
   0.000790       2.243335         8.100466e-05      
   0.000790       2.319686         7.393578e-05      
   0.000790       2.405959         6.611500e-05      
   0.000790       2.501920         5.765210e-05      
   0.000790       2.607312         4.868540e-05      
   0.000790       2.721850         3.940272e-05      
   0.000790       2.845225         3.009586e-05      
   0.000790       2.977105         2.113872e-05      
   0.000790       3.117134         1.293057e-05      
   0.000790       3.264935         5.889746e-06      
   0.000790       3.420109         3.597249e-07      
   0.000790       3.582238         -3.482902e-06     
   0.000790       3.750884         -5.657593e-06     
   0.000790       3.925594         -6.404531e-06     
   0.000790       4.105897         -6.111962e-06     
   0.000790       4.291305         -5.217860e-06     
   0.000790       4.481320         -4.102645e-06     
   0.000790       4.675429         -3.024042e-06     
   0.000790       4.873108         -2.109475e-06     
   0.000790       5.073826         -1.390450e-06     
   0.000790       5.277040         -8.488366e-07     
   0.000790       5.482203         -4.513622e-07     
   0.000790       5.688763         -1.664184e-07     
   0.000790       5.896161         3.142457e-08      
   0.000790       6.103839         1.619791e-07      
   0.000790       6.311237         2.409388e-07      
   0.000790       6.517797         2.810040e-07      
   0.000790       6.722960         2.925570e-07      
   0.000790       6.926174         2.840627e-07      
   0.000790       7.126892         2.623344e-07      
   0.000790       7.324571         2.327399e-07      
   0.000790       7.518680         1.993835e-07      
   0.000790       7.708695         1.652817e-07      
   0.000790       7.894103         1.325352e-07      
   0.000790       8.074406         1.024959e-07      
   0.000790       8.249116         7.592496e-08      
   0.000790       8.417762         5.313557e-08      
   0.000790       8.579891         3.411949e-08      
   0.000790       8.735065         1.865263e-08      
   0.000790       8.882866         6.380327e-09      
   0.000790       9.022895         -3.117174e-09     
   0.000790       9.154775         -1.027689e-08     
   0.000790       9.278150         -1.552056e-08     
   0.000790       9.392688         -1.923436e-08     
   0.000790       9.498080         -2.175816e-08     
   0.000790       9.594041         -2.338170e-08     
   0.000790       9.680314         -2.434534e-08     
   0.000790       9.756665         -2.484375e-08     
   0.000790       9.822889         -2.503114e-08     
   0.000790       9.878807         -2.502794e-08     
   0.000790       9.924269         -2.494051e-08     
   0.000790       9.959152         -2.489856e-08     
   0.000790       9.983362         -2.452739e-08     
   0.000790       9.996840         -2.256042e-08     
   0.004159       0.000790         9.833053e-06      
