#       k             kp                  V           
   0.001185       0.001185         4.158232e-06      
   0.001185       0.006239         2.189713e-05      
   0.001185       0.015318         5.372677e-05      
   0.001185       0.028399         9.936738e-05      
   0.001185       0.045447         1.582215e-04      
   0.001185       0.066417         2.291091e-04      
   0.001185       0.091251         3.100140e-04      
   0.001185       0.119882         3.978934e-04      
   0.001185       0.152235         4.885915e-04      
   0.001185       0.188220         5.769713e-04      
   0.001185       0.227742         6.573353e-04      
   0.001185       0.270694         7.241242e-04      
   0.001185       0.316959         7.727756e-04      
   0.001185       0.366414         8.005185e-04      
   0.001185       0.418925         8.068287e-04      
   0.001185       0.474351         7.933655e-04      
   0.001185       0.532541         7.634123e-04      
   0.001185       0.593339         7.210669e-04      
   0.001185       0.656582         6.705122e-04      
   0.001185       0.722098         6.155669e-04      
   0.001185       0.789711         5.594862e-04      
   0.001185       0.859239         5.048470e-04      
   0.001185       0.930495         4.534378e-04      
   0.001185       1.003286         4.062354e-04      
   0.001185       1.077416         3.635722e-04      
   0.001185       1.152685         3.254269e-04      
   0.001185       1.228890         2.916392e-04      
   0.001185       1.305826         2.619447e-04      
   0.001185       1.383286         2.359366e-04      
   0.001185       1.461060         2.131090e-04      
   0.001185       1.538940         1.929824e-04      
   0.001185       1.616714         1.751802e-04      
   0.001185       1.694174         1.593947e-04      
   0.001185       1.771110         1.453234e-04      
   0.001185       1.847315         1.326696e-04      
   0.001185       1.922584         1.211924e-04      
   0.001185       1.996714         1.107297e-04      
   0.001185       2.069505         1.011691e-04      
   0.001185       2.140761         9.240992e-05      
   0.001185       2.210289         8.435668e-05      
   0.001185       2.277902         7.693479e-05      
   0.001185       2.343418         7.009939e-05      
   0.001185       2.406661         6.382578e-05      
   0.001185       2.467459         5.809354e-05      
   0.001185       2.525649         5.287830e-05      
   0.001185       2.581075         4.815284e-05      
   0.001185       2.633586         4.389104e-05      
   0.001185       2.683041         4.006949e-05      
   0.001185       2.729306         3.666621e-05      
   0.001185       2.772258         3.365870e-05      
   0.001185       2.811780         3.102305e-05      
   0.001185       2.847765         2.873425e-05      
   0.001185       2.880118         2.676729e-05      
   0.001185       2.908749         2.509824e-05      
   0.001185       2.933583         2.370510e-05      
   0.001185       2.954553         2.256835e-05      
   0.001185       2.971601         2.167126e-05      
   0.001185       2.984682         2.100010e-05      
   0.001185       2.993761         2.054426e-05      
   0.001185       2.998815         2.029630e-05      
   0.001185       3.004739         1.998477e-05      
   0.001185       3.024957         1.896938e-05      
   0.001185       3.061273         1.725076e-05      
   0.001185       3.113597         1.497104e-05      
   0.001185       3.181789         1.232631e-05      
   0.001185       3.265666         9.551098e-06      
   0.001185       3.365002         6.889158e-06      
   0.001185       3.479529         4.557211e-06      
   0.001185       3.608938         2.712543e-06      
   0.001185       3.752880         1.418167e-06      
   0.001185       3.910968         6.291693e-07      
   0.001185       4.082775         2.256371e-07      
   0.001185       4.267838         6.026505e-08      
   0.001185       4.465657         9.808874e-09      
   0.001185       4.675701         8.233175e-11      
   0.001185       4.897402         -3.886466e-10     
   0.001185       5.130163         -7.889580e-11     
   0.001185       5.373356         2.122845e-12      
   0.001185       5.626327         4.276610e-12      
   0.001185       5.888392         1.079814e-12      
   0.001185       6.158845         1.532357e-13      
   0.001185       6.436958         1.266163e-14      
   0.001185       6.721980         3.547791e-16      
   0.001185       7.013143         -4.718277e-17     
   0.001185       7.309662         -6.535368e-18     
   0.001185       7.610739         -3.563895e-19     
   0.001185       7.915560         -5.939302e-21     
   0.001185       8.223305         3.888731e-22      
   0.001185       8.533144         2.659550e-23      
   0.001185       8.844241         5.905509e-25      
   0.001185       9.155759         -2.741261e-27     
   0.001185       9.466856         -4.364879e-28     
   0.001185       9.776695         -8.748564e-30     
   0.001185       10.084440        -1.178513e-32     
   0.001185       10.389261        2.434433e-33      
   0.001185       10.690338        4.164074e-35      
   0.001185       10.986857        -1.865140e-36     
   0.001185       11.278020        -1.382657e-34     
   0.001185       11.563042        -9.745816e-33     
   0.001185       11.841155        -6.729917e-31     
   0.001185       12.111608        -4.452022e-29     
   0.001185       12.373673        -2.738459e-27     
   0.001185       12.626644        -1.554403e-25     
   0.001185       12.869837        -8.040415e-24     
   0.001185       13.102598        -3.579877e-22     
   0.001185       13.324299        -1.358466e-20     
   0.001185       13.534343        -4.627567e-19     
   0.001185       13.732162        -1.311123e-17     
   0.001185       13.917225        -2.708018e-16     
   0.001185       14.089032        -4.497150e-15     
   0.001185       14.247120        -7.442856e-14     
   0.001185       14.391062        -9.782560e-13     
   0.001185       14.520471        -7.852583e-12     
   0.001185       14.634998        -3.812983e-11     
   0.001185       14.734334        -1.233982e-10     
   0.001185       14.818211        -3.016837e-10     
   0.001185       14.886403        -6.384133e-10     
   0.001185       14.938727        -1.371863e-09     
   0.001185       14.975043        -4.180465e-09     
   0.001185       14.995261        -5.548926e-07     
   0.006239       0.001185         2.189713e-05      
   0.006239       0.006239         1.153098e-04      
   0.006239       0.015318         2.829240e-04      
