# vlowk itz =  0 l =  0 s =  1 jt =  1 kvnn =  74  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V11             V12              V21             V22 
   0.000790   0.000790   -1.715701332700E+00  -2.463751773555E-06  -2.463751773556E-06   1.616266149397E-12
   0.000790   0.004159   -1.715670463334E+00  -6.831869585712E-05  -2.463544090101E-06   4.274631864192E-11
   0.000790   0.010212   -1.715509482753E+00  -4.117286739189E-04  -2.462461030363E-06   2.575418889705E-10
   0.000790   0.018933   -1.715039386182E+00  -1.414395239004E-03  -2.459300426781E-06   8.840818345668E-10
   0.000790   0.030298   -1.714005915345E+00  -3.617832858289E-03  -2.452363368958E-06   2.257774426808E-09
   0.000790   0.044278   -1.712085531889E+00  -7.709136617772E-03  -2.439514134119E-06   4.796850107368E-09
   0.000790   0.060834   -1.708895011007E+00  -1.449748101931E-02  -2.418284315552E-06   8.976578872879E-09
   0.000790   0.079922   -1.704005704739E+00  -2.487848074386E-02  -2.386034924152E-06   1.528859679967E-08
   0.000790   0.101490   -1.696963259555E+00  -3.978429066683E-02  -2.340183738458E-06   2.418373402117E-08
   0.000790   0.125480   -1.687312945136E+00  -6.011908047473E-02  -2.278491968707E-06   3.600061352213E-08
   0.000790   0.151828   -1.674629747692E+00  -8.668232458029E-02  -2.199385020637E-06   5.088783343592E-08
   0.000790   0.180462   -1.658551109969E+00  -1.200858938505E-01  -2.102260754044E-06   6.873349776201E-08
   0.000790   0.211306   -1.638808927335E+00  -1.606744704409E-01  -1.987722651476E-06   8.911990797552E-08
   0.000790   0.244276   -1.615256534391E+00  -2.084612029252E-01  -1.857673920836E-06   1.113206295898E-07
   0.000790   0.279283   -1.587886359796E+00  -2.630905906560E-01  -1.715228215020E-06   1.343501586470E-07
   0.000790   0.316234   -1.556834945314E+00  -3.238376115335E-01  -1.564432072383E-06   1.570638188326E-07
   0.000790   0.355027   -1.522374037203E+00  -3.896463220761E-01  -1.409842131585E-06   1.782911754632E-07
   0.000790   0.395559   -1.484888990669E+00  -4.592039080585E-01  -1.256039007997E-06   1.969757990058E-07
   0.000790   0.437721   -1.444848054687E+00  -5.310395100719E-01  -1.107173908868E-06   2.122921924872E-07
   0.000790   0.481399   -1.402767533535E+00  -6.036330541730E-01  -9.666285548508E-07   2.237180231146E-07
   0.000790   0.526474   -1.359177986118E+00  -6.755188279814E-01  -8.368317582941E-07   2.310531689695E-07
   0.000790   0.572826   -1.314595612923E+00  -7.453714131520E-01  -7.192330509990E-07   2.343909723936E-07
   0.000790   0.620330   -1.269501249467E+00  -8.120665318797E-01  -6.144003248087E-07   2.340566701451E-07
   0.000790   0.668857   -1.224327524596E+00  -8.747147227725E-01  -5.221924655246E-07   2.305311965837E-07
   0.000790   0.718277   -1.179453239595E+00  -9.326701548815E-01  -4.419587785170E-07   2.243762863050E-07
   0.000790   0.768456   -1.135203131913E+00  -9.855196067276E-01  -3.727285518376E-07   2.161714985530E-07
   0.000790   0.819260   -1.091850919119E+00  -1.033057641043E+00  -3.133692016935E-07   2.064680064192E-07
   0.000790   0.870551   -1.049623730522E+00  -1.075253699505E+00  -2.627048793398E-07   1.957594079132E-07
   0.000790   0.922191   -1.008706524083E+00  -1.112215786253E+00  -2.195967335480E-07   1.844670259651E-07
   0.000790   0.974040   -9.692456704158E-01  -1.144154109643E+00  -1.829910363899E-07   1.729360273659E-07
   0.000790   1.025960   -9.313514321012E-01  -1.171346855425E+00  -1.519430705495E-07   1.614386845747E-07
   0.000790   1.077809   -8.950994998202E-01  -1.194109348468E+00  -1.256243144953E-07   1.501817123838E-07
   0.000790   1.129449   -8.605320355653E-01  -1.212767267933E+00  -1.033191443642E-07   1.393154224534E-07
   0.000790   1.180740   -8.276588136401E-01  -1.227634272726E+00  -8.441568952422E-08   1.289432048183E-07
   0.000790   1.231544   -7.964590537962E-01  -1.238994289151E+00  -6.839403048958E-08   1.191304681714E-07
   0.000790   1.281723   -7.668844274552E-01  -1.247088718118E+00  -5.481379373389E-08   1.099126135402E-07
   0.000790   1.331143   -7.388635136142E-01  -1.252108847538E+00  -4.330232517684E-08   1.013019080217E-07
   0.000790   1.379670   -7.123077184620E-01  -1.254193733815E+00  -3.354407747130E-08   9.329327870507E-08
   0.000790   1.427174   -6.871183915652E-01  -1.253433692295E+00  -2.527144984691E-08   8.586914967429E-08
   0.000790   1.473526   -6.631946164305E-01  -1.249879283123E+00  -1.825709743291E-08   7.900343857285E-08
