#       k             kp                 V11                    V12                    V21                    V22          
   0.001947       0.001947         -9.092912e+00          -1.554186e-05          -1.554186e-05          5.742842e-11      
   0.001947       0.010250         -9.092710e+00          -4.307811e-04          -1.553426e-05          1.591448e-09      
   0.001947       0.025159         -9.091686e+00          -2.592579e-03          -1.549476e-05          9.563524e-09      
   0.001947       0.046627         -9.088718e+00          -8.876773e-03          -1.538029e-05          3.260231e-08      
   0.001947       0.074585         -9.082268e+00          -2.255546e-02          -1.513311e-05          8.205544e-08      
   0.001947       0.108938         -9.070511e+00          -4.750546e-02          -1.468908e-05          1.698206e-07      
   0.001947       0.149573         -9.051489e+00          -8.769339e-02          -1.399225e-05          3.046373e-07      
   0.001947       0.196355         -9.023453e+00          -1.464340e-01          -1.301382e-05          4.874007e-07      
   0.001947       0.249129         -8.985104e+00          -2.255378e-01          -1.176946e-05          7.073727e-07      
   0.001947       0.307719         -8.935910e+00          -3.246005e-01          -1.032549e-05          9.419540e-07      
   0.001947       0.371930         -8.876180e+00          -4.407356e-01          -8.787205e-06          1.161559e-06      
   0.001947       0.441550         -8.806963e+00          -5.689329e-01          -7.271893e-06          1.338138e-06      
   0.001947       0.516347         -8.729736e+00          -7.029622e-01          -5.879158e-06          1.453247e-06      
   0.001947       0.596072         -8.646006e+00          -8.364994e-01          -4.671690e-06          1.501733e-06      
   0.001947       0.680461         -8.556988e+00          -9.640887e-01          -3.672231e-06          1.490191e-06      
   0.001947       0.769234         -8.463399e+00          -1.081700e+00          -2.872667e-06          1.432222e-06      
   0.001947       0.862094         -8.365425e+00          -1.186854e+00          -2.247345e-06          1.343394e-06      
   0.001947       0.958735         -8.262797e+00          -1.278425e+00          -1.764502e-06          1.237722e-06      
   0.001947       1.058835         -8.154898e+00          -1.356315e+00          -1.393473e-06          1.126046e-06      
   0.001947       1.162061         -8.040922e+00          -1.421094e+00          -1.108059e-06          1.015806e-06      
   0.001947       1.268071         -7.919962e+00          -1.473708e+00          -8.873672e-07          9.115495e-07      
   0.001947       1.376513         -7.791122e+00          -1.515268e+00          -7.154047e-07          8.156764e-07      
   0.001947       1.487025         -7.653613e+00          -1.546913e+00          -5.801927e-07          7.291323e-07      
   0.001947       1.599241         -7.506743e+00          -1.569717e+00          -4.728497e-07          6.519546e-07      
   0.001947       1.712789         -7.350013e+00          -1.584668e+00          -3.868088e-07          5.836655e-07      
   0.001947       1.827291         -7.183146e+00          -1.592646e+00          -3.171993e-07          5.235298e-07      
   0.001947       1.942367         -7.006113e+00          -1.594432e+00          -2.603870e-07          4.707144e-07      
   0.001947       2.057633         -6.819162e+00          -1.590718e+00          -2.136386e-07          4.243823e-07      
   0.001947       2.172709         -6.622812e+00          -1.582121e+00          -1.748805e-07          3.837427e-07      
   0.001947       2.287211         -6.417899e+00          -1.569200e+00          -1.425263e-07          3.480771e-07      
